Date	Quantity of positions	Volume	P.L	Average P.L	Comission	Gross	Net	Open	Hi	Low	Close
24.05.2019	4	4	-55.5	-13.88	0	-55.5	-55.5	0	22.5	-55.5	-55.5
27.05.2019	5	5	14	2.8	0	-41.5	-41.5	-55.5	-22	-65.5	-41.5
28.05.2019	7	7	88	12.57	0	46.5	46.5	-41.5	81	-41.5	46.5
29.05.2019	5	5	-55	-11	0	-8.5	-8.5	46.5	48.5	-25.5	-8.5
30.05.2019	5	5	-6.5	-1.3	0	-15	-15	-8.5	39	-33.5	-15
31.05.2019	5	5	-122.5	-24.5	0	-137.5	-137.5	-15	-15	-137.5	-137.5
03.06.2019	7	7	-29	-4.14	0	-166.5	-166.5	-137.5	-62.5	-166.5	-166.5
04.06.2019	3	3	82.5	27.5	0	-84	-84	-166.5	-84	-194	-84
05.06.2019	6	6	56	9.33	0	-28	-28	-84	-28	-114.5	-28
06.06.2019	4	4	151.5	37.88	0	123.5	123.5	-28	123.5	-45	123.5
07.06.2019	5	5	122	24.4	0	245.5	245.5	123.5	245.5	123.5	245.5
10.06.2019	6	6	-78	-13	0	167.5	167.5	245.5	247	167.5	167.5
11.06.2019	4	4	33.5	8.38	0	201	201	167.5	201	167.5	201
12.06.2019	7	7	-76.5	-10.93	0	124.5	124.5	201	201	124.5	124.5
13.06.2019	4	4	146.5	36.63	0	271	271	124.5	281.5	124.5	271
14.06.2019	4	4	-12	-3	0	259	259	271	280.5	255	259
17.06.2019	7	7	83	11.86	0	342	342	259	361.5	259	342
18.06.2019	10	10	158.5	15.85	0	500.5	500.5	342	568	342	500.5
19.06.2019	7	7	-113.5	-16.21	0	387	387	500.5	501.5	387	387
20.06.2019	6	6	81	13.5	0	468	468	387	468	385	468
21.06.2019	5	5	-81	-16.2	0	387	387	468	489.5	387	387
24.06.2019	6	6	-49	-8.17	0	338	338	387	399	338	338
25.06.2019	3	3	34	11.33	0	372	372	338	395	338	372
26.06.2019	7	7	102.5	14.64	0	474.5	474.5	372	529.5	372	474.5
27.06.2019	7	7	-16.5	-2.36	0	458	458	474.5	503	458	458
28.06.2019	5	5	38.5	7.7	0	496.5	496.5	458	500	458	496.5
01.07.2019	1	1	24.5	24.5	0	521	521	496.5	521	496.5	521
02.07.2019	4	4	74	18.5	0	595	595	521	595	521	595
03.07.2019	5	5	2	0.4	0	597	597	595	597	564	597
04.07.2019	5	5	13.5	2.7	0	610.5	610.5	597	610.5	582.5	610.5
05.07.2019	6	6	17	2.83	0	627.5	627.5	610.5	627.5	529.5	627.5
08.07.2019	6	6	8	1.33	0	635.5	635.5	627.5	635.5	590.5	635.5
09.07.2019	5	5	43	8.6	0	678.5	678.5	635.5	678.5	596	678.5
10.07.2019	7	7	224.5	32.07	0	903	903	678.5	903	626	903
11.07.2019	8	8	-6	-0.75	0	897	897	903	954.5	887	897
12.07.2019	7	7	74.5	10.64	0	971.5	971.5	897	971.5	897	971.5
