Date	P.L
24.05.2019	-55.5
27.05.2019	14
28.05.2019	88
29.05.2019	-81.5
30.05.2019	-6.5
31.05.2019	-122.5
03.06.2019	-29
04.06.2019	82.5
05.06.2019	56
06.06.2019	192.5
07.06.2019	122
10.06.2019	-78
11.06.2019	33.5
12.06.2019	-71.5
13.06.2019	146.5
14.06.2019	-12
17.06.2019	83
18.06.2019	158.5
19.06.2019	-113.5
20.06.2019	81
21.06.2019	-81
24.06.2019	-49
25.06.2019	34
26.06.2019	102.5
27.06.2019	-16.5
28.06.2019	38.5
01.07.2019	24.5
02.07.2019	74
03.07.2019	-31
04.07.2019	52
05.07.2019	11.5
08.07.2019	8
09.07.2019	26.5
10.07.2019	224.5
11.07.2019	-6
12.07.2019	74.5
15.07.2019	57
16.07.2019	-75
17.07.2019	-21
18.07.2019	148.5
19.07.2019	-33
22.07.2019	135
23.07.2019	18.5
24.07.2019	92
25.07.2019	-47.5
26.07.2019	95
29.07.2019	27
30.07.2019	-6.5
31.07.2019	-78
01.08.2019	118.5
02.08.2019	-275
05.08.2019	-128
06.08.2019	446
07.08.2019	209.5
08.08.2019	262.5
09.08.2019	113.5
12.08.2019	-88
13.08.2019	122.5
14.08.2019	-186
15.08.2019	97.5
16.08.2019	32.5
19.08.2019	73.5
20.08.2019	-77.5
21.08.2019	26
22.08.2019	22.5
23.08.2019	-145
26.08.2019	48
27.08.2019	95
28.08.2019	-93
29.08.2019	139.5
30.08.2019	36
02.09.2019	90.5
03.09.2019	57
04.09.2019	102
05.09.2019	125
06.09.2019	-8.5
09.09.2019	13.5
10.09.2019	73.5
11.09.2019	44
12.09.2019	29.5
13.09.2019	-99.5
16.09.2019	110
17.09.2019	34
18.09.2019	-77.5
19.09.2019	-7
20.09.2019	9
23.09.2019	-15.5
24.09.2019	-58
25.09.2019	54
26.09.2019	43.5
27.09.2019	54
30.09.2019	53
01.10.2019	48.5
02.10.2019	-0.5
03.10.2019	100.5
04.10.2019	130.5
07.10.2019	-40.5
08.10.2019	-5
09.10.2019	96.5
10.10.2019	156
11.10.2019	24.5
14.10.2019	-57.5
15.10.2019	8
16.10.2019	-27
17.10.2019	-36.5
18.10.2019	-34.5
21.10.2019	26
22.10.2019	8
23.10.2019	51
24.10.2019	39
25.10.2019	48.5
28.10.2019	52
29.10.2019	-121.5
30.10.2019	56.5
31.10.2019	-80.5
01.11.2019	90
04.11.2019	78
05.11.2019	2.5
06.11.2019	-20.5
07.11.2019	-56
08.11.2019	-2.5
11.11.2019	23.5
12.11.2019	-34.5
13.11.2019	-21.5
14.11.2019	-36.5
15.11.2019	33
18.11.2019	123.5
19.11.2019	49
20.11.2019	-27.5
21.11.2019	42
22.11.2019	38.5
25.11.2019	28
26.11.2019	-13
27.11.2019	-1.5
28.11.2019	29
29.11.2019	-5
02.12.2019	52
03.12.2019	-25.5
04.12.2019	97.5
05.12.2019	-7.5
06.12.2019	80
09.12.2019	47.5
10.12.2019	7
11.12.2019	36.5
12.12.2019	-2.5
13.12.2019	-45.5
16.12.2019	-20.5
17.12.2019	-3.5
18.12.2019	-10.5
19.12.2019	13
20.12.2019	3
23.12.2019	-2.5
24.12.2019	-2.5
26.12.2019	75.5
27.12.2019	-8
30.12.2019	37
31.12.2019	48.5
02.01.2020	118.5
03.01.2020	25.5
06.01.2020	125
07.01.2020	-26.5
08.01.2020	240
09.01.2020	51
10.01.2020	3
13.01.2020	128
14.01.2020	-69
15.01.2020	-63
16.01.2020	19
17.01.2020	-3.5
20.01.2020	-26
21.01.2020	-31
22.01.2020	56.5
23.01.2020	-17
24.01.2020	-36
27.01.2020	-75.5
28.01.2020	182.5
29.01.2020	93
30.01.2020	-103
31.01.2020	-16.5
03.02.2020	179
04.02.2020	85
05.02.2020	88.5
06.02.2020	50.5
07.02.2020	-51.5
10.02.2020	62.5
11.02.2020	-78
12.02.2020	70
13.02.2020	-39.5
14.02.2020	-99
17.02.2020	28.5
18.02.2020	94
19.02.2020	13
20.02.2020	83.5
21.02.2020	-161
24.02.2020	-310
25.02.2020	-155.5
26.02.2020	-7.5
27.02.2020	-667
28.02.2020	108.5
02.03.2020	199.5
03.03.2020	-497.5
04.03.2020	503
05.03.2020	-24.5
06.03.2020	-13.5
09.03.2020	-535
10.03.2020	338.5
11.03.2020	-557.5
12.03.2020	-686.5
13.03.2020	-111.5
16.03.2020	-153
17.03.2020	-185.5
18.03.2020	518
19.03.2020	-755.5
20.03.2020	398
23.03.2020	714.5
24.03.2020	657.5
25.03.2020	25
26.03.2020	-98
27.03.2020	-452
30.03.2020	305
31.03.2020	-126
01.04.2020	-383
02.04.2020	40.5
03.04.2020	-20.5
06.04.2020	205.5
07.04.2020	-27.5
08.04.2020	31.5
09.04.2020	72
13.04.2020	249
14.04.2020	310.5
15.04.2020	-236.5
16.04.2020	-54.5
17.04.2020	-89.5
20.04.2020	-82
21.04.2020	-125
22.04.2020	87.5
23.04.2020	-44.5
24.04.2020	246.5
27.04.2020	16.5
28.04.2020	59
29.04.2020	90.5
30.04.2020	-143.5
01.05.2020	54.5
04.05.2020	336.5
05.05.2020	356
06.05.2020	-4.5
07.05.2020	126
08.05.2020	96
11.05.2020	34
12.05.2020	1.5
13.05.2020	-99
14.05.2020	203.5
15.05.2020	413
18.05.2020	91.5
19.05.2020	175.5
20.05.2020	165.5
21.05.2020	-51.5
22.05.2020	94.5
25.05.2020	93
26.05.2020	-98.5
27.05.2020	292.5
28.05.2020	156.5
29.05.2020	-158
01.06.2020	209.5
02.06.2020	296.5
03.06.2020	54
04.06.2020	-108.5
05.06.2020	-18.5
08.06.2020	73
09.06.2020	1.5
10.06.2020	114
11.06.2020	-368.5
12.06.2020	76.5
15.06.2020	325.5
16.06.2020	-66
17.06.2020	-77.5
18.06.2020	-130.5
19.06.2020	85
22.06.2020	192.5
23.06.2020	103
24.06.2020	-100
25.06.2020	-304.5
26.06.2020	-200.5
29.06.2020	105
30.06.2020	84
01.07.2020	124
02.07.2020	123.5
03.07.2020	-18
06.07.2020	210
07.07.2020	-3.5
08.07.2020	141.5
09.07.2020	170
10.07.2020	139
13.07.2020	35.5
14.07.2020	52
15.07.2020	-65.5
16.07.2020	-280
17.07.2020	63.5
20.07.2020	17.5
21.07.2020	-31
22.07.2020	-56.5
23.07.2020	-49.5
24.07.2020	-148
27.07.2020	378
28.07.2020	-166.5
29.07.2020	74
30.07.2020	-207
31.07.2020	-28.5
03.08.2020	210.5
04.08.2020	25.5
05.08.2020	-165.5
06.08.2020	273
07.08.2020	89
10.08.2020	10
11.08.2020	-154
12.08.2020	246
13.08.2020	11.5
14.08.2020	-46
17.08.2020	89
18.08.2020	107.5
19.08.2020	-31
20.08.2020	313.5
21.08.2020	24.5
24.08.2020	41.5
25.08.2020	52
26.08.2020	-121
27.08.2020	-104
28.08.2020	237.5
31.08.2020	-109
01.09.2020	133
02.09.2020	159.5
03.09.2020	-294.5
04.09.2020	671.5
07.09.2020	-19.5
08.09.2020	-472.5
09.09.2020	423.5
10.09.2020	240.5
11.09.2020	-51
14.09.2020	25
15.09.2020	142.5
16.09.2020	-232.5
17.09.2020	-55.5
18.09.2020	-70.5
21.09.2020	-241
22.09.2020	63.5
23.09.2020	-16
24.09.2020	-91
25.09.2020	-76.5
28.09.2020	382.5
29.09.2020	-126.5
30.09.2020	-211
01.10.2020	-142.5
02.10.2020	-280.5
05.10.2020	21.5
06.10.2020	-302
07.10.2020	220.5
08.10.2020	13.5
09.10.2020	190
12.10.2020	78
13.10.2020	-63.5
14.10.2020	118.5
15.10.2020	279.5
16.10.2020	-10.5
19.10.2020	-250.5
20.10.2020	-115.5
21.10.2020	85
22.10.2020	103
23.10.2020	39.5
26.10.2020	291.5
27.10.2020	83
28.10.2020	-257
29.10.2020	255
30.10.2020	-360
02.11.2020	156
03.11.2020	18.5
04.11.2020	670.5
05.11.2020	193.5
06.11.2020	30
09.11.2020	-465.5
10.11.2020	-175
11.11.2020	57.5
12.11.2020	75.5
13.11.2020	169
16.11.2020	-294
17.11.2020	-151
18.11.2020	39
19.11.2020	144.5
20.11.2020	57.5
23.11.2020	-42.5
24.11.2020	70.5
25.11.2020	21
26.11.2020	-82
27.11.2020	-34
30.11.2020	257.5
01.12.2020	71.5
02.12.2020	82.5
03.12.2020	58.5
04.12.2020	17.5
07.12.2020	1.5
08.12.2020	141.5
09.12.2020	-59
10.12.2020	-98
11.12.2020	-75.5
14.12.2020	122
15.12.2020	134
16.12.2020	119.5
17.12.2020	40
18.12.2020	-17
21.12.2020	196.5
22.12.2020	-32
23.12.2020	-22
24.12.2020	16
28.12.2020	118.5
29.12.2020	-187.5
30.12.2020	35.5
31.12.2020	-8.5
04.01.2021	183.5
05.01.2021	4
06.01.2021	-234
07.01.2021	59
08.01.2021	-22.5
11.01.2021	-167.5
12.01.2021	-71.5
13.01.2021	-24.5
14.01.2021	-75.5
15.01.2021	-111.5
18.01.2021	6
19.01.2021	100.5
20.01.2021	113
21.01.2021	163.5
22.01.2021	-155.5
25.01.2021	167
26.01.2021	58
27.01.2021	-327
28.01.2021	180
29.01.2021	-474
01.02.2021	473
02.02.2021	253.5
03.02.2021	-19.5
04.02.2021	49
05.02.2021	215
08.02.2021	-152
09.02.2021	61.5
10.02.2021	195
11.02.2021	-71
12.02.2021	-42.5
15.02.2021	30.5
16.02.2021	-69
17.02.2021	-145
18.02.2021	-153.5
19.02.2021	75.5
22.02.2021	-183.5
23.02.2021	203
24.02.2021	177.5
25.02.2021	-515
26.02.2021	-101.5
01.03.2021	39.5
02.03.2021	-17.5
03.03.2021	-179
04.03.2021	-441
05.03.2021	842.5
08.03.2021	-451.5
09.03.2021	365.5
10.03.2021	120
11.03.2021	86
12.03.2021	70
15.03.2021	121
16.03.2021	282
17.03.2021	36
18.03.2021	-88.5
19.03.2021	6.5
22.03.2021	189
23.03.2021	-184
24.03.2021	-276
25.03.2021	305.5
26.03.2021	358
29.03.2021	134
30.03.2021	-147
31.03.2021	229
01.04.2021	-28.5
02.04.2021	99
05.04.2021	-9.5
06.04.2021	-63.5
07.04.2021	14
08.04.2021	101
09.04.2021	173.5
12.04.2021	19
13.04.2021	295
14.04.2021	-12.5
15.04.2021	35
16.04.2021	45
19.04.2021	-23.5
20.04.2021	-37.5
21.04.2021	119.5
22.04.2021	-74.5
23.04.2021	112.5
26.04.2021	68.5
27.04.2021	-106
28.04.2021	-143.5
29.04.2021	160
30.04.2021	-112.5
03.05.2021	100.5
04.05.2021	33
05.05.2021	-62
06.05.2021	413
07.05.2021	35.5
10.05.2021	-426
11.05.2021	391.5
12.05.2021	-578.5
13.05.2021	55.5
14.05.2021	124
17.05.2021	-327
18.05.2021	-68.5
19.05.2021	-181.5
20.05.2021	129.5
21.05.2021	-111.5
24.05.2021	287.5
25.05.2021	-157.5
26.05.2021	-139
27.05.2021	-105
28.05.2021	-13
31.05.2021	-68.5
01.06.2021	35.5
02.06.2021	58.5
03.06.2021	-228.5
04.06.2021	18.5
07.06.2021	-71
08.06.2021	38.5
09.06.2021	-16.5
10.06.2021	-80.5
11.06.2021	77
14.06.2021	191
15.06.2021	-142
16.06.2021	-101.5
17.06.2021	281
18.06.2021	-203
21.06.2021	149
22.06.2021	68.5
23.06.2021	-93.5
24.06.2021	41.5
25.06.2021	0
28.06.2021	163.5
29.06.2021	42
30.06.2021	-60
01.07.2021	141.5
02.07.2021	245
05.07.2021	-50
06.07.2021	204
07.07.2021	131.5
08.07.2021	-104.5
09.07.2021	54.5
12.07.2021	60
13.07.2021	-127
14.07.2021	-135.5
15.07.2021	-0.5
16.07.2021	-71.5
19.07.2021	-216
20.07.2021	-132
21.07.2021	194
22.07.2021	88.5
23.07.2021	71
26.07.2021	3
27.07.2021	89.5
28.07.2021	82
29.07.2021	63.5
30.07.2021	227.5
02.08.2021	-85.5
03.08.2021	163
04.08.2021	1.5
05.08.2021	21
06.08.2021	-97
09.08.2021	154.5
10.08.2021	-55
11.08.2021	167.5
12.08.2021	-58
13.08.2021	-32
16.08.2021	8
17.08.2021	7.5
18.08.2021	-15
19.08.2021	-13
20.08.2021	-27.5
23.08.2021	91
24.08.2021	45.5
25.08.2021	18.5
26.08.2021	-137.5
27.08.2021	-55
30.08.2021	264.5
31.08.2021	-94
01.09.2021	42.5
02.09.2021	52.5
03.09.2021	64
06.09.2021	23
07.09.2021	16
08.09.2021	53
09.09.2021	-100.5
10.09.2021	-45.5
13.09.2021	145.5
14.09.2021	-108.5
15.09.2021	120.5
16.09.2021	-44
17.09.2021	-140
20.09.2021	56
21.09.2021	3
22.09.2021	137.5
23.09.2021	116
24.09.2021	12.5
27.09.2021	34.5
28.09.2021	-316.5
29.09.2021	141
30.09.2021	-283
01.10.2021	303
04.10.2021	-35.5
05.10.2021	160.5
06.10.2021	82.5
07.10.2021	175
08.10.2021	-124
11.10.2021	116.5
12.10.2021	-73.5
13.10.2021	167
14.10.2021	159.5
15.10.2021	229
18.10.2021	71
19.10.2021	173
20.10.2021	-67.5
21.10.2021	43
22.10.2021	40
25.10.2021	74
26.10.2021	86
27.10.2021	-122.5
28.10.2021	-15
29.10.2021	289.5
01.11.2021	12
02.11.2021	146.5
03.11.2021	227
04.11.2021	193
05.11.2021	40
08.11.2021	47
09.11.2021	-160.5
10.11.2021	99.5
11.11.2021	89.5
12.11.2021	120
15.11.2021	42.5
16.11.2021	155
17.11.2021	154
18.11.2021	25.5
19.11.2021	-109
22.11.2021	223
23.11.2021	-358
24.11.2021	-5.5
25.11.2021	48
26.11.2021	-422.5
29.11.2021	344.5
30.11.2021	-15.5
01.12.2021	-15.5
02.12.2021	270
03.12.2021	-341.5
06.12.2021	96
07.12.2021	287.5
08.12.2021	31.5
09.12.2021	-67.5
10.12.2021	-127
13.12.2021	99.5
14.12.2021	-74
15.12.2021	-147
16.12.2021	-99.5
17.12.2021	-381.5
20.12.2021	-298
21.12.2021	523
22.12.2021	276
23.12.2021	68.5
27.12.2021	133.5
28.12.2021	3
29.12.2021	9
30.12.2021	-147.5
31.12.2021	-129
03.01.2022	27.5
04.01.2022	-74
05.01.2022	-75
06.01.2022	-405.5
07.01.2022	-19.5
10.01.2022	59.5
11.01.2022	295.5
12.01.2022	-41
13.01.2022	103.5
14.01.2022	-355
17.01.2022	10
18.01.2022	-63
19.01.2022	-178
20.01.2022	49.5
