Date	Quantity of positions	Volume	P.L	Average P.L	Comission	Gross	Net	Open	Hi	Low	Close
24.05.2019	1	1.00	22.50	22.50	0.00	22.50	22.50	0.00	22.50	0.00	22.50
27.05.2019	3	3.00	27.50	9.17	0.00	50.00	50.00	22.50	56.00	12.50	50.00
28.05.2019	5	5.00	83.50	16.70	0.00	133.50	133.50	50.00	133.50	50.00	133.50
29.05.2019	4	4.00	-7.50	-1.88	0.00	126.00	126.00	133.50	133.50	84.00	126.00
30.05.2019	3	3.00	12.00	4.00	0.00	138.00	138.00	126.00	173.50	108.00	138.00
31.05.2019	5	5.00	-122.50	-24.50	0.00	15.50	15.50	138.00	138.00	15.50	15.50
03.06.2019	4	4.00	52.50	13.13	0.00	68.00	68.00	15.50	68.00	-7.00	68.00
04.06.2019	1	1.00	-27.50	-27.50	0.00	40.50	40.50	68.00	68.00	40.50	40.50
05.06.2019	2	2.00	15.00	7.50	0.00	55.50	55.50	40.50	67.00	40.50	55.50
06.06.2019	2	2.00	116.00	58.00	0.00	171.50	171.50	55.50	171.50	55.50	171.50
07.06.2019	4	4.00	132.00	33.00	0.00	303.50	303.50	171.50	303.50	171.50	303.50
10.06.2019	3	3.00	-26.50	-8.83	0.00	277.00	277.00	303.50	303.50	277.00	277.00
11.06.2019	2	2.00	10.50	5.25	0.00	287.50	287.50	277.00	302.50	277.00	287.50
12.06.2019	4	4.00	-40.50	-10.13	0.00	247.00	247.00	287.50	287.50	220.50	247.00
13.06.2019	2	2.00	80.00	40.00	0.00	327.00	327.00	247.00	361.00	247.00	327.00
14.06.2019	2	2.00	9.50	4.75	0.00	336.50	336.50	327.00	336.50	311.00	336.50
17.06.2019	5	5.00	-12.50	-2.50	0.00	324.00	324.00	336.50	360.50	324.00	324.00
18.06.2019	6	6.00	187.50	31.25	0.00	511.50	511.50	324.00	511.50	324.00	511.50
19.06.2019	5	5.00	-56.00	-11.20	0.00	455.50	455.50	511.50	512.50	455.50	455.50
20.06.2019	4	4.00	37.00	9.25	0.00	492.50	492.50	455.50	492.50	453.50	492.50
21.06.2019	4	4.00	-56.00	-14.00	0.00	436.50	436.50	492.50	514.00	436.50	436.50
24.06.2019	5	5.00	-27.50	-5.50	0.00	409.00	409.00	436.50	448.50	409.00	409.00
25.06.2019	3	3.00	34.00	11.33	0.00	443.00	443.00	409.00	466.00	409.00	443.00
26.06.2019	5	5.00	137.50	27.50	0.00	580.50	580.50	443.00	624.00	443.00	580.50
27.06.2019	4	4.00	6.50	1.63	0.00	587.00	587.00	580.50	609.00	580.50	587.00
28.06.2019	2	2.00	42.00	21.00	0.00	629.00	629.00	587.00	629.00	587.00	629.00
02.07.2019	4	4.00	74.00	18.50	0.00	703.00	703.00	629.00	703.00	629.00	703.00
03.07.2019	3	3.00	34.50	11.50	0.00	737.50	737.50	703.00	737.50	687.50	737.50
04.07.2019	4	4.00	13.50	3.38	0.00	751.00	751.00	737.50	751.00	723.00	751.00
05.07.2019	4	4.00	-67.50	-16.88	0.00	683.50	683.50	751.00	751.00	683.50	683.50
08.07.2019	5	5.00	-24.50	-4.90	0.00	659.00	659.00	683.50	683.50	646.50	659.00
09.07.2019	4	4.00	-11.50	-2.88	0.00	647.50	647.50	659.00	659.00	603.00	647.50
10.07.2019	5	5.00	197.50	39.50	0.00	845.00	845.00	647.50	845.00	611.50	845.00
11.07.2019	5	5.00	51.50	10.30	0.00	896.50	896.50	845.00	896.50	845.00	896.50
12.07.2019	5	5.00	9.50	1.90	0.00	906.00	906.00	896.50	941.50	896.50	906.00
