Ticket	Entry_time	Exit_time	MAE	MFE	PNL	Unnamed: 6
2	2010-06-10 03:03:40	2010.06.10 03:17:40	-4.5	2.0	-4.5	2.25
3	2010-06-10 04:30:40	2010.06.10 05:00:00	-1.0	8.0	6.5	2.0
4	2010-06-10 04:38:01	2010.06.10 07:30:00	-4.0	19.5	17.5	5.25
5	2010-06-10 06:29:20	2010.06.10 07:30:00	-1.0	12.5	10.5	3.25
7	2010-06-11 02:26:40	2010.06.11 03:10:00	-4.0	0.0	-4.0	2.0
8	2010-06-11 04:35:40	2010.06.11 05:05:00	-4.5	2.5	-4.5	2.25
10	2010-06-11 04:35:40	2010.06.11 04:49:01	-2.5	3.0	-2.5	1.25
10	2010-06-14 02:02:40	2010.06.14 07:51:30	-5.0	7.0	-5.0	2.5
17	2010-06-14 04:44:01	2010.06.14 04:56:01	-4.0	0.5	-4.0	2.0
21	2010-06-14 08:04:01	2010.06.14 09:00:00	0.5	7.5	5.0	1.25
12	2010-06-14 08:31:01	2010.06.14 09:30:00	-1.0	7.0	5.0	1.5
14	2010-06-15 05:03:40	2010.06.15 09:30:40	-6.0	8.5	-6.0	3.0
24	2010-06-15 05:28:00	2010.06.15 09:14:20	-7.5	5.5	-7.5	3.75
26	2010-06-16 02:40:01	2010.06.16 03:19:40	-3.5	0.0	-3.5	1.75
28	2010-06-16 03:33:40	2010.06.16 05:12:00	-2.0	2.5	-2.0	1.0
17	2010-06-16 03:33:40	2010.06.16 03:54:40	-3.0	0.0	-3.0	1.5
19	2010-06-16 04:04:01	2010.06.16 04:53:30	-3.0	1.0	-3.0	1.5
31	2010-06-16 08:36:00	2010.06.16 08:59:40	-2.5	1.0	-2.5	1.25
21	2010-06-16 08:36:20	2010.06.16 08:41:01	-2.0	0.5	-2.0	1.0
34	2010-06-17 02:45:01	2010.06.17 02:51:40	-3.5	0.0	-3.5	1.75
23	2010-06-17 03:32:01	2010.06.17 04:28:40	-5.5	0.0	-5.5	2.75
36	2010-06-17 04:06:01	2010.06.17 04:21:40	-2.5	0.0	-2.5	1.25
25	2010-06-17 05:43:00	2010.06.17 05:51:00	-1.5	0.5	-1.5	0.75
42	2010-06-17 08:30:40	2010.06.17 08:32:30	-1.5	0.0	-1.5	0.75
44	2010-06-18 02:35:40	2010.06.18 02:43:40	-1.5	1.0	-1.5	0.75
46	2010-06-18 03:46:40	2010.06.18 07:00:30	-2.5	6.5	5.5	1.75
27	2010-06-18 04:00:40	2010.06.18 08:44:40	-6.5	4.0	-6.5	3.25
29	2010-06-21 02:04:20	2010.06.21 02:25:40	-3.0	3.0	-3.0	1.5
52	2010-06-21 05:47:40	2010.06.21 08:30:00	-0.5	13.5	12.0	4.75
32	2010-06-21 05:48:00	2010.06.21 17:50:40	-16.0	23.0	-16.0	8.0
54	2010-06-22 02:47:30	2010.06.22 02:52:01	-1.0	0.0	-1.0	0.5
56	2010-06-22 03:38:40	2010.06.22 04:30:00	-1.5	14.5	11.0	1.75
34	2010-06-22 03:38:40	2010.06.22 04:11:20	-2.0	3.0	-2.0	1.0
36	2010-06-22 04:34:40	2010.06.22 07:48:40	-16.0	4.0	-16.0	8.0
38	2010-06-23 02:08:40	2010.06.23 02:35:20	-4.0	2.5	-4.0	2.0
63	2010-06-23 03:11:30	2010.06.23 03:40:40	-4.5	0.5	-4.5	2.25
40	2010-06-23 03:30:40	2010.06.23 03:40:40	-3.5	0.0	-3.5	1.75
42	2010-06-23 04:54:00	2010.06.23 11:00:00	-3.0	9.5	7.0	2.0
65	2010-06-23 04:54:40	2010.06.23 11:30:00	-4.0	12.5	10.5	3.25
67	2010-06-24 02:11:20	2010.06.24 02:42:40	-3.5	2.0	-3.5	1.75
