Ticket	Entry_time	Exit_time	MAE	MFE	PNL	Unnamed: 6
2	2020-01-02 03:00:40	2020.01.02 03:19:40	-15.5	7.5	-15.5	7.75
4	2020-01-02 04:39:20	2020.01.02 11:00:00	-7.0	43.5	37.5	14.5
4	2020-01-02 10:42:20	2020.01.02 10:51:40	-18.5	1.5	-18.5	9.25
6	2020-01-03 02:07:40	2020.01.03 03:36:40	-13.5	5.0	-13.5	6.75
17	2020-01-06 04:05:40	2020.01.06 04:41:20	-19.0	3.0	-19.0	9.5
19	2020-01-06 05:03:40	2020.01.06 06:00:00	-6.0	28.0	23.0	7.75
13	2020-01-06 15:01:40	2020.01.06 16:30:00	-7.5	38.5	32.0	11.0
16	2020-01-07 01:00:40	2020.01.07 01:05:40	-10.0	1.5	-10.0	5.0
25	2020-01-07 02:07:40	2020.01.07 04:00:00	-9.0	39.5	30.5	10.5
31	2020-01-07 08:00:40	2020.01.07 08:01:40	-12.0	0.0	-12.0	6.0
19	2020-01-07 11:46:40	2020.01.07 18:03:40	-23.0	76.0	-23.0	11.5
22	2020-01-07 21:01:40	2020.01.07 23:00:00	-6.5	41.5	29.0	7.75
35	2020-01-08 03:43:40	2020.01.08 05:00:00	-32.5	149.0	123.5	50.25
38	2020-01-08 07:08:40	2020.01.08 07:56:40	-24.5	11.0	-24.5	12.25
25	2020-01-08 11:33:40	2020.01.08 11:55:40	-26.5	2.0	-26.5	13.25
41	2020-01-09 02:10:40	2020.01.09 05:15:40	-37.0	7.0	-37.0	18.5
45	2020-01-10 02:01:40	2020.01.10 03:00:00	-4.0	32.0	24.0	2.75
49	2020-01-10 04:49:40	2020.01.10 06:00:00	-0.5	19.5	18.0	3.75
51	2020-01-10 08:00:40	2020.01.10 09:31:40	-10.0	5.0	-10.0	5.0
35	2020-01-10 21:11:40	2020.01.10 22:30:00	-2.5	49.5	37.5	12.0
54	2020-01-13 02:43:40	2020.01.13 03:30:00	-3.0	41.5	33.5	7.25
56	2020-01-13 04:53:20	2020.01.13 12:00:00	-9.0	30.5	30.5	10.0
39	2020-01-13 13:16:40	2020.01.13 14:00:00	-6.5	27.5	25.5	6.25
60	2020-01-14 04:00:40	2020.01.14 04:10:40	-11.5	1.5	-11.5	5.75
64	2020-01-14 07:09:40	2020.01.14 07:55:40	-11.0	10.0	-11.0	5.5
44	2020-01-14 20:36:40	2020.01.14 21:00:00	-21.0	52.0	44.5	11.75
46	2020-01-15 01:00:40	2020.01.15 01:30:00	-4.5	27.0	21.5	4.75
68	2020-01-15 03:02:40	2020.01.15 04:29:40	-22.5	27.5	-22.5	11.25
48	2020-01-15 05:06:40	2020.01.15 07:54:40	-24.0	3.0	-24.0	12.0
71	2020-01-15 05:38:40	2020.01.15 08:30:00	-9.0	25.5	21.5	7.75
75	2020-01-16 03:06:40	2020.01.16 03:30:40	-10.0	4.0	-10.0	5.0
80	2020-01-16 08:34:40	2020.01.16 08:37:20	-8.5	0.0	-8.5	4.25
53	2020-01-16 13:09:40	2020.01.16 14:11:40	-15.0	7.0	-15.0	7.5
83	2020-01-17 02:30:40	2020.01.17 03:19:40	-9.0	3.5	-9.0	4.5
86	2020-01-17 04:00:40	2020.01.17 06:38:20	-15.5	9.5	-15.5	7.75
88	2020-01-17 07:37:40	2020.01.17 10:00:00	-9.0	15.0	13.5	4.75
93	2020-01-20 04:34:40	2020.01.20 04:39:40	-4.5	0.0	-4.5	2.25
95	2020-01-20 05:12:40	2020.01.20 07:57:40	-9.0	0.0	-9.0	4.5
97	2020-01-20 08:14:40	2020.01.20 09:08:40	-8.5	2.0	-8.5	4.25
64	2020-01-21 01:22:40	2020.01.21 03:30:00	-2.0	76.5	57.0	4.0
104	2020-01-21 05:03:40	2020.01.21 08:44:40	-22.5	4.0	-22.5	11.25
106	2020-01-22 02:15:20	2020.01.22 03:30:00	-1.0	24.0	23.0	8.0
108	2020-01-22 04:19:40	2020.01.22 05:00:00	3.5	75.0	62.0	11.0
69	2020-01-22 10:43:20	2020.01.22 14:09:40	-19.0	18.5	-19.0	9.5
71	2020-01-22 20:52:40	2020.01.22 22:30:00	-5.5	92.0	71.0	11.25
110	2020-01-23 02:04:20	2020.01.23 07:26:40	-31.0	32.5	-31.0	15.5
73	2020-01-23 13:12:40	2020.01.23 14:01:40	-11.0	7.5	-11.0	5.5
115	2020-01-24 03:20:20	2020.01.24 03:44:40	-14.0	2.0	-14.0	7.0
119	2020-01-24 08:00:40	2020.01.24 09:00:40	-6.5	1.0	-6.5	3.25
121	2020-01-27 02:10:40	2020.01.27 11:48:40	-65.5	54.5	-65.5	32.75
82	2020-01-27 21:01:40	2020.01.27 21:30:40	-43.0	10.0	-43.0	21.5
124	2020-01-28 03:01:40	2020.01.28 07:00:00	-18.5	59.5	49.0	18.75
84	2020-01-28 05:04:20	2020.01.28 06:01:40	-13.5	7.5	-13.5	6.75
86	2020-01-28 13:14:40	2020.01.28 13:46:40	-29.5	17.0	-29.5	14.75
88	2020-01-28 15:01:40	2020.01.28 16:33:40	-29.0	19.0	-29.0	14.5
91	2020-01-29 01:05:40	2020.01.29 03:39:40	-74.5	14.5	-74.5	37.25
126	2020-01-29 03:14:40	2020.01.29 03:30:00	6.0	53.5	49.0	8.75
133	2020-01-30 03:33:40	2020.01.30 04:05:40	-36.0	5.5	-36.0	18.0
137	2020-01-30 07:49:40	2020.01.30 09:00:40	-35.0	16.0	-35.0	17.5
102	2020-01-31 01:00:40	2020.01.31 03:04:40	-42.5	30.5	-42.5	21.25
140	2020-01-31 02:53:40	2020.01.31 09:39:40	-41.0	49.5	-41.0	20.5
104	2020-01-31 11:34:40	2020.01.31 12:30:00	-11.5	50.5	44.5	10.75
142	2020-02-03 02:35:40	2020.02.03 04:00:00	-20.5	82.5	78.5	27.75
145	2020-02-03 05:16:40	2020.02.03 08:46:40	-35.0	35.0	-35.0	17.5
147	2020-02-04 03:00:40	2020.02.04 03:30:00	-1.0	71.0	51.5	9.25
149	2020-02-04 04:35:40	2020.02.04 04:46:40	-33.0	1.5	-33.0	16.5
151	2020-02-04 05:30:40	2020.02.04 06:30:00	-8.0	64.0	47.5	19.25
153	2020-02-04 07:43:40	2020.02.04 09:40:40	-26.0	25.5	-26.0	13.0
112	2020-02-05 01:01:40	2020.02.05 10:34:40	-37.5	64.0	-37.5	18.75
157	2020-02-05 03:49:40	2020.02.05 05:12:40	-26.0	26.0	-26.0	13.0
159	2020-02-05 05:41:40	2020.02.05 07:48:40	-21.5	22.5	-21.5	10.75
161	2020-02-05 08:08:20	2020.02.05 10:30:00	-14.5	55.0	50.0	15.5
116	2020-02-05 21:07:40	2020.02.05 21:37:40	-30.0	9.5	-30.0	15.0
164	2020-02-06 02:42:40	2020.02.06 03:30:00	-10.5	78.0	58.0	12.5
166	2020-02-06 04:03:40	2020.02.06 06:30:00	-2.0	49.0	38.5	14.5
168	2020-02-06 08:05:40	2020.02.06 08:50:40	-19.5	12.5	-19.5	9.75
172	2020-02-07 03:35:40	2020.02.07 11:48:40	-40.5	41.5	-40.5	20.25
122	2020-02-07 15:08:40	2020.02.07 15:25:40	-20.5	3.5	-20.5	10.25
174	2020-02-10 03:35:40	2020.02.10 18:30:00	-33.0	167.5	153.5	64.5
128	2020-02-11 10:46:40	2020.02.11 12:18:40	-23.5	17.5	-23.5	11.75
130	2020-02-11 13:24:40	2020.02.11 14:24:40	-14.5	17.5	-14.5	7.25
132	2020-02-11 20:33:40	2020.02.11 21:00:00	-5.5	58.5	47.5	14.75
179	2020-02-12 02:01:40	2020.02.12 02:03:40	-20.5	1.0	-20.5	10.25
182	2020-02-12 03:00:40	2020.02.12 06:00:00	-12.5	37.5	30.5	11.5
137	2020-02-12 21:04:40	2020.02.12 21:48:40	-18.5	3.5	-18.5	9.25
139	2020-02-13 01:00:40	2020.02.13 02:00:00	-12.5	118.5	85.5	6.5
186	2020-02-13 03:01:40	2020.02.13 08:18:40	-29.5	23.0	-29.5	14.75
146	2020-02-14 01:10:40	2020.02.14 03:36:40	-18.5	35.0	-18.5	9.25
190	2020-02-14 02:51:20	2020.02.14 04:00:00	-7.5	42.0	38.0	13.25
149	2020-02-14 13:10:40	2020.02.14 14:01:40	-11.5	10.5	-11.5	5.75
151	2020-02-14 15:15:20	2020.02.14 16:00:00	-4.0	55.0	37.5	7.5
196	2020-02-17 03:27:40	2020.02.17 07:30:00	-7.0	25.0	22.5	9.5
201	2020-02-18 04:03:40	2020.02.18 04:31:20	-19.0	4.5	-19.0	9.5
204	2020-02-18 08:11:20	2020.02.18 08:28:40	-16.5	0.5	-16.5	8.25
157	2020-02-18 20:54:40	2020.02.18 21:23:40	-36.5	6.0	-36.5	18.25
208	2020-02-19 03:50:20	2020.02.19 15:00:00	-21.0	46.5	43.5	15.25
215	2020-02-20 07:47:40	2020.02.20 08:30:00	-2.5	28.5	22.0	6.75
164	2020-02-20 15:29:40	2020.02.20 15:30:40	-11.5	2.0	-11.5	5.75
217	2020-02-21 02:23:40	2020.02.21 07:34:40	-72.0	25.5	-72.0	36.0
171	2020-02-24 21:08:40	2020.02.24 21:26:40	-57.0	26.0	-57.0	28.5
173	2020-02-25 01:00:40	2020.02.25 01:04:40	-54.5	50.0	-54.5	27.25
230	2020-02-25 07:01:20	2020.02.25 07:26:40	-14.5	9.0	-14.5	7.25
232	2020-02-25 07:44:40	2020.02.25 09:00:00	-13.0	47.5	40.5	15.0
235	2020-02-26 03:39:40	2020.02.26 08:57:40	-90.5	73.5	-90.5	45.25
238	2020-02-27 02:31:40	2020.02.27 04:29:40	-186.5	21.0	-186.5	93.25
242	2020-02-27 07:07:40	2020.02.27 08:16:40	-55.0	30.0	-55.0	27.5
244	2020-02-27 08:54:40	2020.02.27 10:00:00	10.0	167.0	103.0	40.5
179	2020-02-27 11:55:40	2020.02.27 14:30:00	-25.0	167.0	165.0	37.0
247	2020-02-28 04:12:40	2020.02.28 05:04:40	-124.0	40.5	-124.0	62.0
252	2020-02-28 08:57:40	2020.02.28 10:30:00	-17.5	238.5	156.0	71.0
181	2020-02-28 10:35:40	2020.02.28 14:21:40	-183.0	275.0	-183.0	91.5
254	2020-03-02 02:04:40	2020.03.02 02:44:20	-109.5	29.5	-109.5	54.75
256	2020-03-02 03:01:40	2020.03.02 03:30:00	-23.0	125.0	124.0	46.25
258	2020-03-02 07:03:40	2020.03.02 10:00:00	-70.5	228.5	211.0	49.25
185	2020-03-02 11:37:40	2020.03.02 13:30:00	-8.0	258.5	252.0	63.25
262	2020-03-03 05:09:20	2020.03.03 06:24:40	-101.0	41.0	-101.0	50.5
265	2020-03-03 08:55:40	2020.03.03 10:30:00	-21.5	168.5	129.5	35.0
267	2020-03-04 04:43:40	2020.03.04 11:00:00	-13.0	140.0	130.0	45.0
195	2020-03-04 21:02:40	2020.03.04 21:26:40	-93.5	10.5	-93.5	46.75
269	2020-03-05 02:42:20	2020.03.05 03:07:40	-63.5	6.0	-63.5	31.75
273	2020-03-05 04:32:40	2020.03.05 05:44:40	-37.5	36.0	-37.5	18.75
275	2020-03-05 07:02:40	2020.03.05 07:30:00	2.0	48.5	45.5	13.0
199	2020-03-05 21:01:40	2020.03.05 23:30:00	-50.5	168.0	79.5	50.75
284	2020-03-06 08:08:40	2020.03.06 11:37:40	-55.5	93.5	-55.5	27.75
202	2020-03-06 10:35:40	2020.03.06 12:00:00	-64.5	172.5	169.5	43.0
204	2020-03-06 20:46:40	2020.03.06 22:50:40	-132.0	202.5	-132.0	66.0
206	2020-03-09 11:32:40	2020.03.09 16:08:40	-76.0	546.5	-76.0	38.0
290	2020-03-10 02:52:40	2020.03.10 07:30:00	-49.5	284.0	258.0	95.75
292	2020-03-10 08:53:40	2020.03.10 09:05:40	-77.5	12.0	-77.5	38.75
213	2020-03-10 13:17:40	2020.03.10 14:30:00	-2.5	187.0	185.0	47.5
294	2020-03-11 02:11:40	2020.03.11 02:44:40	-140.0	32.0	-140.0	70.0
296	2020-03-11 03:01:40	2020.03.11 03:29:40	-118.5	24.5	-118.5	59.25
299	2020-03-11 05:25:40	2020.03.11 05:41:40	-94.0	3.5	-94.0	47.0
303	2020-03-11 08:00:40	2020.03.11 10:00:00	-68.0	114.0	105.5	35.0
219	2020-03-11 21:03:40	2020.03.11 21:38:40	-119.0	153.0	-119.0	59.5
221	2020-03-12 01:13:40	2020.03.12 02:30:00	-10.5	221.0	210.5	57.5
223	2020-03-12 05:20:40	2020.03.12 06:22:40	-189.0	7.0	-189.0	94.5
225	2020-03-12 13:28:40	2020.03.12 16:30:00	-38.5	553.5	130.5	45.0
312	2020-03-13 02:08:20	2020.03.13 03:10:40	-191.5	5.5	-191.5	95.75
231	2020-03-16 21:29:40	2020.03.16 22:00:00	-79.0	645.5	590.0	160.0
236	2020-03-17 20:49:40	2020.03.17 21:42:40	-266.0	133.0	-266.0	133.0
320	2020-03-18 03:33:20	2020.03.18 05:00:00	-67.0	241.0	201.0	56.75
330	2020-03-19 07:15:40	2020.03.19 08:30:00	-85.0	265.0	181.5	83.75
243	2020-03-19 21:00:40	2020.03.20 00:00:00	-133.5	476.5	435.0	107.75
332	2020-03-20 03:02:40	2020.03.20 03:30:00	-6.0	214.5	166.0	40.5
337	2020-03-20 07:34:20	2020.03.20 09:00:00	-84.5	284.0	272.5	45.5
246	2020-03-20 10:45:20	2020.03.20 10:51:40	-161.5	6.5	-161.5	80.75
339	2020-03-23 03:38:40	2020.03.23 13:00:00	-115.0	276.0	247.5	78.0
251	2020-03-23 21:22:40	2020.03.23 21:52:40	-233.5	82.0	-233.5	116.75
341	2020-03-24 03:00:40	2020.03.24 04:00:00	-24.5	251.0	238.0	44.25
