Ticket	Entry_time	Exit_time	MAE	MFE	PNL	
5	2014.01.03 02:46:01	2014.01.03 03:55:40	-3	3.5	-3	1.5
9	2014.01.03 05:39:20	2014.01.03 06:00:20	-2.5	0	-2.5	1.25
24	2014.01.06 05:33:40	2014.01.06 10:50:40	-2.5	9	-2.5	1.25
26	2014.01.06 14:28:40	2014.01.06 15:26:40	-4	5	-4	2
31	2014.01.06 20:40:40	2014.01.06 23:30:00	-5	29	0.5	6.75
33	2014.01.07 07:05:40	2014.01.07 07:15:00	-1.5	0.5	-1.5	0.75
40	2014.01.08 02:37:59	2014.01.08 12:37:20	-4	11.5	-4	2
42	2014.01.08 14:11:40	2014.01.08 23:30:00	-3	46	34.5	2.25
44	2014.01.09 02:42:00	2014.01.09 10:28:40	-3.5	11	-3.5	1.75
50	2014.01.09 18:40:40	2014.01.09 21:04:40	-16.5	15	-16.5	8.25
53	2014.01.10 05:31:00	2014.01.10 05:48:40	-2	0.5	-2	1
61	2014.01.13 03:04:40	2014.01.13 03:38:40	-4.5	3	-4.5	2.25
65	2014.01.13 07:04:40	2014.01.13 08:58:00	-2.5	2	-2.5	1.25
67	2014.01.13 14:02:40	2014.01.13 19:55:40	-8	32	-8	4
71	2014.01.14 03:14:01	2014.01.14 06:36:40	-3.5	2	-3.5	1.75
76	2014.01.14 20:17:40	2014.01.14 23:30:00	-14.5	8	2	8
82	2014.01.15 18:05:40	2014.01.15 23:30:00	-15.5	15.5	-9	8.5
84	2014.01.16 04:37:40	2014.01.16 09:01:00	-6.5	2.5	-6.5	3.25
86	2014.01.16 14:06:40	2014.01.16 14:38:40	-6	4	-6	3
89	2014.01.17 02:06:01	2014.01.17 16:30:20	-6	28.5	-6	3
91	2014.01.17 18:18:40	2014.01.17 22:09:40	-28.5	8	-28.5	14.25
93	2014.01.21 02:05:30	2014.01.21 03:30:00	0	21	21	0.75
98	2014.01.21 08:44:20	2014.01.21 08:59:30	-3	0	-3	1.5
101	2014.01.21 14:52:40	2014.01.21 17:14:40	-6.5	18	-6.5	3.25
104	2014.01.21 18:00:20	2014.01.21 18:08:40	-13.5	1.5	-13.5	6.75
107	2014.01.22 05:00:40	2014.01.22 05:07:00	-2	0.5	-2	1
111	2014.01.22 08:50:40	2014.01.22 08:58:00	-3.5	1.5	-3.5	1.75
113	2014.01.22 17:28:40	2014.01.22 23:30:00	-16	17.5	13.5	8.5
121	2014.01.23 08:50:01	2014.01.23 13:12:40	-6.5	18	-6.5	3.25
126	2014.01.23 18:18:40	2014.01.23 20:49:40	-18.5	9	-18.5	9.25
128	2014.01.24 02:24:40	2014.01.24 06:58:40	-8	11.5	-8	4
131	2014.01.24 07:54:40	2014.01.24 10:31:40	-7.5	11	-7.5	3.75
133	2014.01.24 14:39:40	2014.01.24 16:38:40	-14	14.5	-14	7
141	2014.01.27 02:32:40	2014.01.27 17:14:40	-8	33	-8	4
145	2014.01.28 02:47:00	2014.01.28 23:30:00	-4.5	58	47	3.75
147	2014.01.29 02:11:40	2014.01.29 11:13:40	-8.5	26	-8.5	4.25
149	2014.01.29 14:07:40	2014.01.29 14:28:40	-21.5	5	-21.5	10.75
152	2014.01.29 18:24:40	2014.01.29 21:08:40	-37	19.5	-37	18.5
155	2014.01.30 03:16:40	2014.01.30 03:36:40	-10.5	2	-10.5	5.25
158	2014.01.30 05:02:40	2014.01.30 23:30:00	-10	118	43	6.75
161	2014.01.31 02:41:40	2014.01.31 05:48:40	-5.5	5	-5.5	2.75
163	2014.01.31 07:32:00	2014.01.31 10:07:40	-8.5	8.5	-8.5	4.25
165	2014.01.31 14:26:20	2014.01.31 15:28:40	-29.5	0.5	-29.5	14.75
167	2014.01.31 17:51:40	2014.01.31 23:30:00	-12.5	58	25.5	14.5
172	2014.02.03 05:05:40	2014.02.03 08:09:00	-17	0	-17	8.5
180	2014.02.03 23:00:40	2014.02.03 23:30:00	-20.5	1	-16.5	12.25
182	2014.02.04 02:52:40	2014.02.04 03:34:00	-9	4	-9	4.5
185	2014.02.04 05:33:20	2014.02.04 05:37:40	-8.5	0	-8.5	4.25
189	2014.02.04 08:49:40	2014.02.04 23:30:00	-10	69.5	29.5	7.5
195	2014.02.05 05:47:40	2014.02.05 15:19:40	-10.5	19	-10.5	5.25
200	2014.02.06 02:09:40	2014.02.06 03:41:40	-6	10	-6	3
202	2014.02.06 04:19:40	2014.02.06 23:30:00	-10.5	90.5	69.5	6.25
206	2014.02.07 03:35:40	2014.02.07 15:30:40	-5	56.5	-5	2.5
208	2014.02.07 18:15:20	2014.02.07 23:30:00	-7.5	72	71	19.75
212	2014.02.10 03:51:00	2014.02.10 09:17:40	-6.5	6.5	-6.5	3.25
214	2014.02.10 14:03:40	2014.02.10 23:30:00	-3.5	52	48.5	2.75
216	2014.02.11 02:03:01	2014.02.11 10:30:00	-1	23	21	1
218	2014.02.11 14:37:40	2014.02.11 15:33:40	-6.5	7.5	-6.5	3.25
220	2014.02.11 18:23:40	2014.02.11 23:30:00	-1.5	53	27.5	9.75
222	2014.02.12 03:40:20	2014.02.12 23:30:00	-4	41	20.5	2.75
226	2014.02.13 04:54:40	2014.02.13 05:39:40	-9	1	-9	4.5
231	2014.02.14 03:07:00	2014.02.14 04:29:40	-4	10	-4	2
237	2014.02.14 07:39:40	2014.02.14 23:30:00	-3.5	51.5	37	4.25
239	2014.02.18 02:13:40	2014.02.18 02:30:40	-7	0	-7	3.5
243	2014.02.18 05:02:40	2014.02.18 05:28:40	-3	1.5	-3	1.5
245	2014.02.18 07:00:40	2014.02.18 10:10:40	-4	8	-4	2
247	2014.02.18 17:21:40	2014.02.18 23:30:00	-4.5	19.5	1	13.25
249	2014.02.19 02:30:20	2014.02.19 03:09:40	-4	1	-4	2
252	2014.02.19 07:05:40	2014.02.19 12:36:40	-3.5	12	-3.5	1.75
256	2014.02.20 02:05:00	2014.02.20 02:15:40	-4.5	1	-4.5	2.25
259	2014.02.20 05:12:40	2014.02.20 05:33:40	-4	1	-4	2
