Ticket	Entry_time	Exit_time	MAE	MFE	PNL	
2	2020.01.02 14:11:40	2020.01.02 15:30:00	-5.5	23.5	19	5.25
4	2020.01.03 14:11:40	2020.01.03 15:30:00	4.5	88	82.5	16
6	2020.01.07 14:09:40	2020.01.07 15:35:40	-18	19.5	-18	9
9	2020.01.08 14:41:20	2020.01.08 15:48:40	-23.5	26.5	-23.5	11.75
14	2020.01.15 14:51:40	2020.01.15 15:40:40	-20.5	15.5	-20.5	10.25
21	2020.01.27 14:10:40	2020.01.27 16:15:40	-50	22.5	-50	25
25	2020.02.03 14:48:40	2020.02.03 17:00:00	-28.5	155	153	17.75
31	2020.02.11 14:06:40	2020.02.11 16:00:00	-7.5	27	26.5	9
37	2020.02.18 14:25:40	2020.02.18 17:00:00	-5.5	112.5	111.5	13.5
44	2020.03.02 14:58:40	2020.03.02 18:30:00	-109	417	397.5	95
46	2020.03.03 14:02:40	2020.03.03 14:36:40	-55.5	103	-55.5	27.75
51	2020.03.11 14:20:40	2020.03.11 14:32:40	-106.5	10	-106.5	53.25
56	2020.03.19 14:42:20	2020.03.19 15:40:40	-152	165	-152	76
59	2020.03.23 14:00:40	2020.03.23 14:30:00	41.5	1005	721	48.75
62	2020.03.24 14:48:40	2020.03.24 16:30:00	-24.5	321.5	247	66
64	2020.03.25 14:06:40	2020.03.25 16:04:20	-178.5	315	-178.5	89.25
67	2020.03.26 14:30:40	2020.03.26 15:00:00	-14	225	197.5	52.25
69	2020.03.27 14:30:20	2020.03.27 15:09:40	-107.5	32	-107.5	53.75
75	2020.04.02 14:34:40	2020.04.02 15:35:40	-51.5	81.5	-51.5	25.75
81	2020.04.14 14:38:40	2020.04.14 15:30:00	-7	84.5	73.5	22
88	2020.04.22 14:57:20	2020.04.22 15:07:40	-38	3.5	-38	19
90	2020.04.23 14:06:40	2020.04.23 16:00:00	-24	116.5	112.5	23.5
93	2020.04.27 14:45:40	2020.04.27 16:22:40	-42	19.5	-42	21
98	2020.04.30 14:40:40	2020.04.30 14:59:20	-37	25.5	-37	18.5
101	2020.05.01 14:46:40	2020.05.01 17:00:00	-35	134.5	106.5	28
104	2020.05.04 14:31:40	2020.05.04 15:30:00	-5	59	43.5	16.25
109	2020.05.07 14:38:40	2020.05.07 16:36:40	-34.5	60	-34.5	17.25
111	2020.05.12 14:07:40	2020.05.12 14:30:00	1.5	39.5	36	13.5
114	2020.05.13 14:30:40	2020.05.13 16:00:40	-32	38	-32	16
120	2020.05.18 14:30:40	2020.05.18 15:00:00	-27.5	93.5	88	16.25
123	2020.05.21 14:00:40	2020.05.21 14:30:00	-3.5	51	46	10
125	2020.05.25 14:49:20	2020.05.25 15:12:40	-23	1.5	-23	11.5
134	2020.06.03 14:55:40	2020.06.03 15:39:40	-39	5	-39	19.5
136	2020.06.04 14:45:40	2020.06.04 15:33:40	-27.5	22.5	-27.5	13.75
138	2020.06.09 14:47:40	2020.06.09 17:00:00	-7	128.5	100	24
142	2020.06.12 14:01:40	2020.06.12 15:01:40	-65	17	-65	32.5
144	2020.06.15 14:26:40	2020.06.15 17:00:00	-76	157.5	149.5	44.25
147	2020.06.16 14:48:20	2020.06.16 16:00:00	-8.5	171.5	151.5	26.25
152	2020.06.19 14:35:40	2020.06.19 16:00:00	-6	55	45	11.5
155	2020.06.22 14:44:00	2020.06.22 16:39:40	-38.5	39	-38.5	19.25
157	2020.06.23 14:24:40	2020.06.23 15:06:20	-23	11	-23	11.5
161	2020.06.29 14:52:40	2020.06.29 16:13:40	-40.5	68.5	-40.5	20.25
163	2020.06.30 14:30:40	2020.06.30 15:06:20	-35.5	23	-35.5	17.75
169	2020.07.09 14:28:40	2020.07.09 17:17:40	-47.5	72	-47.5	23.75
171	2020.07.14 14:03:40	2020.07.14 14:10:40	-38.5	9.5	-38.5	19.25
178	2020.07.24 14:02:40	2020.07.24 14:36:20	-76.5	32.5	-76.5	38.25
181	2020.07.27 14:43:40	2020.07.27 15:33:40	-40.5	14.5	-40.5	20.25
185	2020.07.30 14:44:40	2020.07.30 19:30:00	-118	266	219.5	71.25
187	2020.07.31 14:06:40	2020.07.31 16:30:40	-35	69	-35	17.5
190	2020.08.05 14:33:40	2020.08.05 15:11:40	-31	14.5	-31	15.5
193	2020.08.10 14:54:40	2020.08.10 16:51:40	-28	41	-28	14
198	2020.08.12 14:33:40	2020.08.12 14:57:40	-40.5	6.5	-40.5	20.25
200	2020.08.13 14:01:40	2020.08.13 15:00:00	3.5	48.5	36.5	9
208	2020.08.27 14:10:40	2020.08.27 14:47:40	-20.5	10	-20.5	10.25
219	2020.09.10 14:04:40	2020.09.10 16:00:00	-74.5	245	228.5	57.5
222	2020.09.11 14:47:40	2020.09.11 15:26:40	-85.5	20	-85.5	42.75
228	2020.09.18 14:13:40	2020.09.18 16:31:40	-59.5	64.5	-59.5	29.75
230	2020.09.21 14:49:40	2020.09.21 16:40:40	-150	41	-150	75
235	2020.09.25 14:18:40	2020.09.25 16:00:00	-51	135.5	117	38
238	2020.09.28 14:58:40	2020.09.28 16:36:40	-64	63.5	-64	32
240	2020.09.29 14:01:40	2020.09.29 14:33:40	-59	9.5	-59	29.5
242	2020.10.01 14:16:40	2020.10.01 15:20:40	-43.5	24	-43.5	21.75
246	2020.10.06 14:04:40	2020.10.06 17:30:00	-31.5	130	96	21.75
249	2020.10.09 14:12:40	2020.10.09 16:00:00	-4.5	82	71.5	22.5
252	2020.10.14 14:06:40	2020.10.14 17:25:40	-71.5	105	-71.5	35.75
254	2020.10.16 14:32:40	2020.10.16 17:30:00	-7.5	192.5	178.5	52
267	2020.10.29 14:36:40	2020.10.29 17:30:00	-96	234	209.5	73.5
269	2020.10.30 14:44:40	2020.10.30 15:44:40	-105.5	96.5	-105.5	52.75
273	2020.11.03 14:00:40	2020.11.03 16:33:40	-59.5	44.5	-59.5	29.75
276	2020.11.05 14:59:40	2020.11.05 16:01:40	-59.5	8	-59.5	29.75
280	2020.11.11 14:27:20	2020.11.11 15:50:40	-73.5	51.5	-73.5	36.75
284	2020.11.13 14:23:40	2020.11.13 14:52:40	-47	13	-47	23.5
290	2020.11.23 14:30:20	2020.11.23 15:42:40	-29	16.5	-29	14.5
295	2020.11.26 14:56:40	2020.11.26 17:13:40	-19	36	-19	9.5
297	2020.11.27 14:37:40	2020.11.27 15:30:00	-4	40	30	7.25
299	2020.11.30 14:06:40	2020.11.30 16:42:40	-48.5	83	-48.5	24.25
301	2020.12.01 14:59:40	2020.12.01 15:18:20	-28	7.5	-28	14
304	2020.12.03 14:51:40	2020.12.03 15:37:40	-25.5	11	-25.5	12.75
314	2020.12.14 14:40:20	2020.12.14 15:14:40	-14.5	10	-14.5	7.25
316	2020.12.15 14:01:40	2020.12.15 14:30:00	6.5	51.5	46	11.5
320	2020.12.22 14:04:40	2020.12.22 16:28:40	-26.5	50	-26.5	13.25
323	2020.12.23 14:35:40	2020.12.23 16:31:40	-25.5	22	-25.5	12.75
327	2020.12.28 14:18:20	2020.12.28 15:00:00	-2	27.5	24	6
330	2020.12.31 14:21:40	2020.12.31 14:27:40	-13	0	-13	6.5
333	2021.01.04 14:36:40	2021.01.04 15:00:00	-11.5	22.5	21.5	7.5
337	2021.01.07 14:01:40	2021.01.07 16:30:00	-12	76.5	57.5	19.25
339	2021.01.08 14:10:40	2021.01.08 16:30:00	-19.5	65	57	13.5
342	2021.01.12 14:05:40	2021.01.12 15:14:40	-30.5	5	-30.5	15.25
345	2021.01.18 14:00:40	2021.01.18 16:15:40	-20	11.5	-20	10
348	2021.01.20 14:31:40	2021.01.20 16:00:00	-3.5	59	55.5	12.75
351	2021.01.25 14:11:40	2021.01.25 17:00:00	-38	127	95.5	20.5
355	2021.01.28 14:08:40	2021.01.28 15:04:40	-74	81	-74	37
357	2021.01.29 14:30:40	2021.01.29 14:40:40	-97.5	7	-97.5	48.75
360	2021.02.02 14:22:40	2021.02.02 16:14:20	-42	16.5	-42	21
363	2021.02.04 14:07:40	2021.02.04 16:34:40	-62.5	60.5	-62.5	31.25
370	2021.02.11 14:59:40	2021.02.11 16:51:40	-28.5	58	-28.5	14.25
373	2021.02.15 14:30:40	2021.02.15 14:42:40	-6.5	3	-6.5	3.25
376	2021.02.17 14:36:40	2021.02.17 15:17:40	-39	11.5	-39	19.5
378	2021.02.19 14:04:40	2021.02.19 14:30:00	-2.5	45	43.5	14
380	2021.02.24 14:07:40	2021.02.24 15:00:00	-7	173	143	47.5
382	2021.02.25 14:03:40	2021.02.25 17:06:40	-85	203	-85	42.5
384	2021.02.26 14:02:40	2021.02.26 16:00:00	-28	353	329.5	74.25
388	2021.03.02 14:03:40	2021.03.02 15:00:00	-2.5	61.5	59	20.5
391	2021.03.05 14:29:40	2021.03.05 15:30:40	-79	65.5	-79	39.5
395	2021.03.11 14:45:40	2021.03.11 15:46:40	-69.5	71	-69.5	34.75
404	2021.03.23 14:34:40	2021.03.23 15:30:00	-19	67.5	53	18.25
406	2021.03.24 14:10:20	2021.03.24 14:46:40	-54	3	-54	27
410	2021.03.26 14:43:40	2021.03.26 18:00:00	-13	244.5	194	65.75
414	2021.03.31 14:38:40	2021.03.31 17:00:00	-22.5	195	186.5	14.5
416	2021.04.05 14:49:40	2021.04.05 16:00:00	-30	101.5	83.5	23.5
421	2021.04.12 14:07:20	2021.04.12 16:48:40	-25	43	-25	12.5
423	2021.04.13 14:36:40	2021.04.13 16:00:00	-16	168	159.5	30
425	2021.04.15 14:49:40	2021.04.15 16:00:00	-6.5	85	67	24
429	2021.04.20 14:35:40	2021.04.20 17:00:00	-25	145	94.5	21.75
437	2021.04.26 14:44:40	2021.04.26 16:00:00	-5	76	64	18.25
440	2021.04.28 14:03:40	2021.04.28 14:34:40	-22	16	-22	11
442	2021.04.29 14:05:00	2021.04.29 16:00:00	-20	59.5	42	10.75
448	2021.05.11 14:00:40	2021.05.11 14:26:40	-67	2	-67	33.5
452	2021.05.14 14:04:40	2021.05.14 14:25:20	-36.5	18	-36.5	18.25
457	2021.05.21 14:08:40	2021.05.21 16:30:00	-16.5	80	57	15
459	2021.05.24 14:01:20	2021.05.24 14:14:40	-21.5	0	-21.5	10.75
461	2021.05.24 14:58:40	2021.05.24 17:00:00	-2	177.5	169.5	17.75
463	2021.05.25 14:11:40	2021.05.25 16:35:20	-27.5	68.5	-27.5	13.75
467	2021.06.01 14:19:40	2021.06.01 15:44:20	-18	26.5	-18	9
471	2021.06.07 14:00:40	2021.06.07 14:30:00	-7.5	65	43.5	12.5
473	2021.06.10 14:10:40	2021.06.10 14:34:40	-33	19.5	-33	16.5
477	2021.06.15 14:44:40	2021.06.15 15:30:40	-19	7.5	-19	9.5
485	2021.06.24 14:07:40	2021.06.24 15:54:20	-20	20.5	-20	10
489	2021.06.30 14:02:40	2021.06.30 16:32:40	-27	45.5	-27	13.5
491	2021.07.01 14:30:40	2021.07.01 18:11:40	-61.5	82	-61.5	30.75
494	2021.07.13 14:30:40	2021.07.13 14:51:40	-17.5	2.5	-17.5	8.75
506	2021.07.26 14:25:40	2021.07.26 15:38:40	-44	25	-44	22
508	2021.07.29 14:58:40	2021.07.29 17:00:00	-29.5	165	115	36.75
