Ticket	Entry_time	Exit_time	MAE	MFE	PNL
3	2025.01.02 03:02:40	2025.01.02 03:04:40	-10	20.5	-10
6	2025.01.02 06:35:40	2025.01.02 07:13:40	0	50	50
8	2025.01.02 08:32:40	2025.01.02 09:15:40	-10	32.5	-10
11	2025.01.02 10:02:40	2025.01.02 10:06:20	-1	50	50
14	2025.01.02 13:42:40	2025.01.02 13:46:40	10.5	50	50
17	2025.01.02 15:38:40	2025.01.02 15:40:20	-10	10	-10
20	2025.01.02 17:05:40	2025.01.02 17:06:20	-10	39.5	-10
23	2025.01.02 18:48:40	2025.01.02 18:51:40	4.5	50	50
28	2025.01.02 21:03:40	2025.01.02 21:03:59	-10	1	-10
30	2025.01.02 22:11:40	2025.01.02 22:13:40	-8.5	50	50
33	2025.01.03 02:07:40	2025.01.03 02:27:40	-9	50	50
35	2025.01.03 04:21:40	2025.01.03 04:21:59	-10	0	-10
37	2025.01.03 05:00:40	2025.01.03 06:05:40	-10	30	-10
42	2025.01.03 07:33:20	2025.01.03 07:52:40	-10	9	-10
45	2025.01.03 09:46:40	2025.01.03 10:02:40	-6	50	50
47	2025.01.03 11:16:40	2025.01.03 11:18:40	-10	10	-10
52	2025.01.03 15:01:40	2025.01.03 15:34:40	-5	50	50
54	2025.01.03 16:19:40	2025.01.03 16:28:40	8	50	50
56	2025.01.03 18:30:40	2025.01.03 18:31:40	-10	7	-10
58	2025.01.03 20:20:40	2025.01.03 20:21:40	-10	0.5	-10
65	2025.01.06 03:02:40	2025.01.06 03:03:40	-10	0	-10
67	2025.01.06 04:12:40	2025.01.06 04:29:40	-10	23.5	-10
69	2025.01.06 05:36:40	2025.01.06 05:45:40	-10	7.5	-10
72	2025.01.06 08:32:40	2025.01.06 09:30:40	-8.5	50	50
74	2025.01.06 10:04:40	2025.01.06 10:25:40	-10	35.5	-10
76	2025.01.06 13:07:40	2025.01.06 13:07:59	-10	1	-10
78	2025.01.06 14:46:40	2025.01.06 14:56:40	-10	45	-10
80	2025.01.06 16:30:40	2025.01.06 16:31:40	-10	27	-10
82	2025.01.06 18:10:40	2025.01.06 18:11:40	-10	8	-10
89	2025.01.06 22:24:40	2025.01.06 22:36:40	-6.5	50	50
93	2025.01.07 02:33:40	2025.01.07 02:55:40	-10	12.5	-10
96	2025.01.07 03:57:40	2025.01.07 04:39:40	-10	32.5	-10
99	2025.01.07 05:31:40	2025.01.07 05:40:40	-10	20	-10
104	2025.01.07 09:04:40	2025.01.07 09:40:40	-10	37.5	-10
106	2025.01.07 10:36:40	2025.01.07 10:46:40	-4.5	50	50
108	2025.01.07 12:23:40	2025.01.07 12:24:40	-10	4.5	-10
112	2025.01.07 14:40:40	2025.01.07 14:57:40	-10	28	-10
118	2025.01.07 20:08:40	2025.01.07 20:19:20	-3	50	50
124	2025.01.08 01:37:40	2025.01.08 01:43:40	-10	8	-10
129	2025.01.08 07:39:40	2025.01.08 08:32:40	-10	35.5	-10
133	2025.01.08 10:14:40	2025.01.08 10:15:40	-10	3.5	-10
137	2025.01.08 15:24:40	2025.01.08 15:29:40	-10	42	-10
140	2025.01.08 17:02:40	2025.01.08 17:05:40	-10	43	-10
143	2025.01.08 18:36:40	2025.01.08 18:37:40	13	50	50
145	2025.01.08 20:26:40	2025.01.08 20:27:40	-10	5.5	-10
147	2025.01.08 21:09:40	2025.01.08 21:10:40	-10	8.5	-10
152	2025.01.09 03:29:40	2025.01.09 03:30:40	-10	1.5	-10
154	2025.01.09 04:13:40	2025.01.09 05:49:40	-10	38	-10
158	2025.01.09 07:05:40	2025.01.09 07:27:40	-10	24	-10
162	2025.01.09 10:29:40	2025.01.09 10:42:40	-4	50	50
164	2025.01.09 11:37:40	2025.01.09 11:46:40	-10	17.5	-10
167	2025.01.09 14:12:40	2025.01.09 14:18:40	-10	7	-10
169	2025.01.09 15:06:40	2025.01.09 15:23:40	-10	27.5	-10
176	2025.01.10 03:08:40	2025.01.10 03:12:40	-10	4	-10
178	2025.01.10 06:54:40	2025.01.10 06:58:40	-10	5.5	-10
182	2025.01.10 09:20:40	2025.01.10 09:25:40	-10	11	-10
185	2025.01.10 11:40:40	2025.01.10 11:43:40	-10	12.5	-10
188	2025.01.10 15:03:20	2025.01.10 15:03:40	-10	0	-10
193	2025.01.10 17:37:40	2025.01.10 17:39:40	2	50	50
197	2025.01.10 19:38:40	2025.01.10 19:41:40	4	50	50
202	2025.01.13 01:33:40	2025.01.13 01:34:40	-10	0.5	-10
209	2025.01.13 06:01:40	2025.01.13 06:16:40	-10	20	-10
211	2025.01.13 08:03:40	2025.01.13 08:08:40	-10	17	-10
215	2025.01.13 10:05:40	2025.01.13 10:10:40	-10	20.5	-10
219	2025.01.13 14:39:40	2025.01.13 14:50:40	0.5	50	50
221	2025.01.13 15:32:40	2025.01.13 15:33:40	-10	8	-10
224	2025.01.13 16:54:40	2025.01.13 16:54:59	-10	17	-10
226	2025.01.13 17:44:40	2025.01.13 17:45:20	-10	16.5	-10
228	2025.01.13 18:43:40	2025.01.13 18:44:20	-10	6.5	-10
230	2025.01.13 19:19:40	2025.01.13 19:23:20	-3	50	50
232	2025.01.13 22:50:40	2025.01.13 22:54:20	-10	30.5	-10
234	2025.01.14 02:50:40	2025.01.14 02:51:40	-10	1	-10
238	2025.01.14 04:52:40	2025.01.14 05:27:40	-10	31.5	-10
241	2025.01.14 06:35:40	2025.01.14 07:18:40	-10	11	-10
243	2025.01.14 07:36:40	2025.01.14 07:41:40	-10	14	-10
246	2025.01.14 09:38:40	2025.01.14 09:40:40	-10	2	-10
254	2025.01.14 15:30:40	2025.01.14 15:30:59	50	256	50
259	2025.01.14 20:27:40	2025.01.14 20:37:40	-4.5	50	50
263	2025.01.14 22:50:40	2025.01.14 22:55:20	-7.5	50	50
268	2025.01.15 02:41:40	2025.01.15 02:45:40	-10	2	-10
270	2025.01.15 04:01:40	2025.01.15 04:03:40	-10	0	-10
275	2025.01.15 06:30:40	2025.01.15 09:42:40	-10	46	-10
278	2025.01.15 11:30:20	2025.01.15 11:30:40	-10	1.5	-10
280	2025.01.15 12:32:40	2025.01.15 13:39:40	-9	50	50
283	2025.01.15 15:30:40	2025.01.15 15:30:59	50	416.5	50
285	2025.01.15 16:44:20	2025.01.15 16:44:40	-10	5	-10
288	2025.01.15 19:30:40	2025.01.15 19:39:40	-3	50	50
290	2025.01.15 20:18:40	2025.01.15 20:30:40	-8	50	50
292	2025.01.15 21:03:40	2025.01.15 21:05:40	-10	2	-10
296	2025.01.16 03:38:40	2025.01.16 03:40:40	-10	3	-10
299	2025.01.16 05:07:40	2025.01.16 05:19:40	-10	11.5	-10
305	2025.01.16 08:13:40	2025.01.16 08:21:20	-3	50	50
309	2025.01.16 12:23:40	2025.01.16 13:00:40	-10	35	-10
311	2025.01.16 13:51:40	2025.01.16 13:52:40	-10	1	-10
314	2025.01.16 15:30:40	2025.01.16 15:30:59	-10	3.5	-10
317	2025.01.16 17:59:40	2025.01.16 18:00:40	-10	10.5	-10
320	2025.01.16 19:27:40	2025.01.16 19:28:40	-10	4	-10
324	2025.01.16 21:27:40	2025.01.16 21:28:40	-10	5	-10
329	2025.01.17 05:31:40	2025.01.17 06:15:40	-2	50	50
331	2025.01.17 07:30:40	2025.01.17 07:34:40	-10	4.5	-10
333	2025.01.17 08:30:40	2025.01.17 08:33:20	-10	12.5	-10
336	2025.01.17 10:31:40	2025.01.17 10:36:40	-10	11.5	-10
338	2025.01.17 12:20:40	2025.01.17 12:21:40	-10	2	-10
341	2025.01.17 13:00:40	2025.01.17 13:03:40	-10	6	-10
344	2025.01.17 15:00:40	2025.01.17 15:06:40	5	50	50
347	2025.01.17 20:05:40	2025.01.17 20:15:40	-0.5	50	50
352	2025.01.17 22:44:40	2025.01.17 22:44:59	-10	0	-10
356	2025.01.20 02:06:20	2025.01.20 02:08:40	-10	0	-10
359	2025.01.20 05:18:40	2025.01.20 05:24:40	-10	9	-10
362	2025.01.20 07:07:40	2025.01.20 08:45:40	-7.5	50	50
364	2025.01.20 09:35:40	2025.01.20 09:52:40	5	50	50
367	2025.01.20 13:45:40	2025.01.20 13:47:40	-10	1	-10
370	2025.01.20 15:30:40	2025.01.20 15:31:00	-10	129.5	-10
373	2025.01.20 18:01:40	2025.01.20 18:11:40	-10	21	-10
376	2025.01.21 01:00:40	2025.01.21 01:00:59	-10	5.5	-10
378	2025.01.21 02:08:40	2025.01.21 02:16:40	-10	13	-10
382	2025.01.21 04:04:20	2025.01.21 04:04:40	-10	3.5	-10
384	2025.01.21 05:11:40	2025.01.21 05:24:40	4.5	50	50
390	2025.01.21 08:14:40	2025.01.21 08:38:40	-10	31	-10
392	2025.01.21 09:32:40	2025.01.21 09:40:40	-10	18.5	-10
394	2025.01.21 10:33:40	2025.01.21 10:43:20	1	50	50
398	2025.01.21 14:28:40	2025.01.21 14:30:40	-10	10	-10
400	2025.01.21 15:19:20	2025.01.21 15:24:40	-10	12.5	-10
402	2025.01.21 15:47:40	2025.01.21 16:19:40	-10	46.5	-10
406	2025.01.21 18:08:40	2025.01.21 18:10:40	-10	11.5	-10
408	2025.01.21 18:51:40	2025.01.21 18:59:40	-6	50	50
411	2025.01.21 22:29:40	2025.01.21 22:34:40	-10	26	-10
413	2025.01.21 23:00:40	2025.01.21 23:01:20	-10	5	-10
415	2025.01.22 02:10:20	2025.01.22 02:10:40	-10	5.5	-10
417	2025.01.22 03:46:20	2025.01.22 03:47:20	-10	2.5	-10
419	2025.01.22 05:13:40	2025.01.22 05:17:40	-10	5	-10
421	2025.01.22 06:31:40	2025.01.22 08:22:40	-10	37.5	-10
425	2025.01.22 09:10:40	2025.01.22 09:15:40	-10	13.5	-10
427	2025.01.22 10:01:40	2025.01.22 10:03:40	-10	3	-10
430	2025.01.22 14:10:40	2025.01.22 15:19:40	-6.5	50	50
432	2025.01.22 16:31:40	2025.01.22 16:32:40	29	50	50
434	2025.01.22 17:37:40	2025.01.22 17:38:40	-10	9.5	-10
436	2025.01.22 18:26:40	2025.01.22 18:40:40	0.5	50	50
446	2025.01.23 03:06:40	2025.01.23 03:09:40	-10	5.5	-10
449	2025.01.23 04:32:40	2025.01.23 05:15:40	-10	32	-10
451	2025.01.23 06:20:40	2025.01.23 07:30:40	-10	13.5	-10
454	2025.01.23 08:17:40	2025.01.23 08:23:40	-10	4.5	-10
462	2025.01.23 11:45:40	2025.01.23 11:49:20	-10	10	-10
465	2025.01.23 13:42:40	2025.01.23 14:01:40	-10	20	-10
467	2025.01.23 14:38:20	2025.01.23 14:38:40	-10	0	-10
469	2025.01.23 15:30:40	2025.01.23 15:31:20	-10	7	-10
471	2025.01.23 16:35:40	2025.01.23 16:36:40	-10	9.5	-10
474	2025.01.23 20:13:40	2025.01.23 20:23:40	2	50	50
477	2025.01.23 21:32:40	2025.01.23 21:33:40	-10	7.5	-10
480	2025.01.24 03:07:40	2025.01.24 03:37:40	-10	39.5	-10
482	2025.01.24 04:07:40	2025.01.24 04:17:40	-9	50	50
486	2025.01.24 07:38:40	2025.01.24 07:54:40	-10	4	-10
488	2025.01.24 08:12:40	2025.01.24 08:36:40	-10	9.5	-10
492	2025.01.24 10:09:40	2025.01.24 10:54:40	-10	26.5	-10
494	2025.01.24 11:15:40	2025.01.24 11:40:40	-10	28	-10
497	2025.01.24 12:56:20	2025.01.24 13:09:40	-10	6.5	-10
499	2025.01.24 14:00:40	2025.01.24 14:25:20	-3.5	50	50
503	2025.01.24 16:05:40	2025.01.24 16:16:40	-6	50	50
506	2025.01.24 18:36:40	2025.01.24 18:56:40	-10	34.5	-10
513	2025.01.24 22:50:40	2025.01.24 22:50:59	-10	10	-10
520	2025.01.27 04:30:40	2025.01.27 04:31:40	-10	4	-10
522	2025.01.27 05:02:40	2025.01.27 05:02:59	-10	0	-10
538	2025.01.27 14:14:40	2025.01.27 14:15:40	-10	2.5	-10
541	2025.01.27 16:30:40	2025.01.27 16:31:40	11	50	50
546	2025.01.27 21:29:40	2025.01.27 21:30:40	-10	9.5	-10
548	2025.01.27 22:57:40	2025.01.27 22:58:20	-10	14.5	-10
552	2025.01.28 03:05:40	2025.01.28 03:39:20	-2	50	50
555	2025.01.28 05:09:40	2025.01.28 05:33:00	-7.5	50	50
558	2025.01.28 06:58:40	2025.01.28 07:05:40	-10	22	-10
561	2025.01.28 09:18:40	2025.01.28 09:34:40	-4	50	50
563	2025.01.28 10:48:40	2025.01.28 10:53:40	-9	50	50
565	2025.01.28 12:02:20	2025.01.28 12:02:40	-10	4	-10
570	2025.01.28 15:24:40	2025.01.28 15:30:40	-10	20	-10
573	2025.01.28 17:01:40	2025.01.28 17:02:20	39	50	50
575	2025.01.28 18:11:40	2025.01.28 18:12:40	-10	13	-10
577	2025.01.28 19:00:40	2025.01.28 19:05:40	-1	50	50
579	2025.01.28 20:04:40	2025.01.28 20:23:40	-10	48	-10
581	2025.01.28 21:29:20	2025.01.28 21:29:40	-10	1	-10
584	2025.01.29 01:18:40	2025.01.29 01:30:40	-10	24.5	-10
586	2025.01.29 02:06:40	2025.01.29 02:09:00	-10	1	-10
589	2025.01.29 04:31:40	2025.01.29 05:10:40	-10	27.5	-10
591	2025.01.29 05:59:40	2025.01.29 06:15:40	1.5	50	50
594	2025.01.29 08:00:40	2025.01.29 08:00:59	50	96.5	50
596	2025.01.29 09:55:40	2025.01.29 10:12:40	-5.5	50	50
599	2025.01.29 11:53:40	2025.01.29 11:55:40	-10	2.5	-10
601	2025.01.29 12:37:40	2025.01.29 12:39:40	-10	7	-10
