Ticket	Entry_time	Exit_time	MAE	MFE	PNL	
3	2019.05.24 05:00:20	2019.05.24 08:30:40	-17.5	16	-17.5	SHORT
6	2019.05.24 13:49:40	2019.05.24 15:00:00	-10	39	31	SHORT
8	2019.05.24 19:18:40	2019.05.24 19:30:40	-35.5	1.5	-35.5	SHORT
12	2019.05.28 04:27:40	2019.05.28 04:50:40	-13.5	6	-13.5	SHORT
15	2019.05.28 13:03:40	2019.05.28 13:30:00	0.5	43	28.5	SHORT
20	2019.05.29 11:49:40	2019.05.29 13:48:40	-19.5	25	-19.5	SHORT
22	2019.05.29 15:01:40	2019.05.29 16:31:20	-24	14	-24	SHORT
26	2019.05.30 13:40:40	2019.05.30 15:43:40	-18	25.5	-18	SHORT
28	2019.05.31 05:24:20	2019.05.31 06:52:40	-29.5	23	-29.5	SHORT
33	2019.06.03 04:08:20	2019.06.03 04:31:40	-17	4	-17	SHORT
35	2019.06.03 11:38:00	2019.06.03 11:51:40	-22	2.5	-22	SHORT
37	2019.06.03 13:33:40	2019.06.03 14:22:40	-17	7	-17	SHORT
39	2019.06.03 20:30:40	2019.06.03 23:30:00	-62	100.5	-11.5	SHORT
44	2019.06.04 19:02:40	2019.06.04 19:55:40	-32.5	27.5	-32.5	SHORT
52	2019.06.05 15:15:40	2019.06.05 16:27:40	-21.5	28.5	-21.5	SHORT
54	2019.06.05 19:13:40	2019.06.05 20:05:40	-38.5	17.5	-38.5	SHORT
63	2019.06.10 01:50:00	2019.06.10 16:32:40	-47.5	58.5	-47.5	SHORT
65	2019.06.10 19:20:40	2019.06.10 21:00:00	-3	59.5	46	SHORT
75	2019.06.13 13:35:40	2019.06.13 13:47:20	-22	3.5	-22	SHORT
78	2019.06.14 05:04:40	2019.06.14 10:00:00	-28	47	38.5	SHORT
90	2019.06.19 11:45:01	2019.06.19 12:30:00	-6.5	24	15	SHORT
93	2019.06.19 13:45:30	2019.06.19 13:47:30	-6	1	-6	SHORT
100	2019.06.20 13:33:30	2019.06.20 14:39:30	-13.5	3.5	-13.5	SHORT
103	2019.06.20 19:10:40	2019.06.20 22:28:40	-38	64	-38	SHORT
105	2019.06.21 04:04:20	2019.06.21 06:00:00	-7	32.5	23.5	SHORT
107	2019.06.21 15:07:40	2019.06.21 15:31:40	-12	14	-12	SHORT
114	2019.06.24 13:47:40	2019.06.24 14:30:00	0.5	26.5	13	SHORT
116	2019.06.24 15:22:40	2019.06.24 15:32:40	-12	1.5	-12	SHORT
118	2019.06.24 19:11:40	2019.06.24 21:30:00	-12	22.5	19	SHORT
121	2019.06.25 04:10:40	2019.06.25 05:00:00	-2	16.5	15.5	SHORT
123	2019.06.25 13:03:40	2019.06.25 13:56:00	-15	5.5	-15	SHORT
129	2019.06.26 13:36:40	2019.06.26 16:00:00	-4.5	84	54	SHORT
135	2019.06.27 11:39:40	2019.06.27 12:00:00	6.5	21	11	SHORT
142	2019.06.28 13:20:40	2019.06.28 16:30:40	-18	15.5	-18	SHORT
145	2019.07.01 19:22:40	2019.07.01 20:00:00	2.5	56.5	50.5	SHORT
157	2019.07.04 05:15:40	2019.07.04 10:17:40	-9	9.5	-9	SHORT
166	2019.07.08 11:49:40	2019.07.08 12:30:00	-3	27	24	SHORT
168	2019.07.08 13:33:20	2019.07.08 15:20:40	-15.5	12.5	-15.5	SHORT
170	2019.07.09 04:05:40	2019.07.09 06:00:00	-8	28	24.5	SHORT
180	2019.07.10 11:34:40	2019.07.10 13:00:00	-15.5	28.5	16.5	SHORT
186	2019.07.11 13:05:40	2019.07.11 13:30:00	0.5	22.5	22	SHORT
188	2019.07.11 19:19:40	2019.07.11 20:30:00	-14	43.5	40.5	SHORT
190	2019.07.12 01:49:40	2019.07.12 02:53:40	-10.5	5	-10.5	SHORT
195	2019.07.12 13:48:40	2019.07.12 16:00:00	-2.5	20.5	16	SHORT
204	2019.07.16 11:48:40	2019.07.16 12:03:40	-11	1	-11	SHORT
206	2019.07.16 13:46:20	2019.07.16 14:38:40	-12.5	9	-12.5	SHORT
208	2019.07.16 20:43:20	2019.07.16 23:30:00	-17	31.5	17	SHORT
213	2019.07.17 13:16:40	2019.07.17 14:30:00	0.5	19.5	13	SHORT
221	2019.07.19 11:47:40	2019.07.19 13:00:00	-12.5	23.5	18	SHORT
228	2019.07.22 19:09:20	2019.07.22 19:24:40	-32.5	0	-32.5	SHORT
230	2019.07.23 01:30:40	2019.07.23 03:19:40	-9.5	13	-9.5	SHORT
239	2019.07.24 15:02:40	2019.07.24 15:04:40	-16	0	-16	SHORT
242	2019.07.25 11:35:40	2019.07.25 11:40:40	-11.5	0.5	-11.5	SHORT
244	2019.07.25 13:05:40	2019.07.25 13:30:00	-1	20	16	SHORT
247	2019.07.25 19:04:40	2019.07.25 23:05:40	-35	73	-35	SHORT
249	2019.07.26 01:39:40	2019.07.26 03:23:40	-16.5	5	-16.5	SHORT
253	2019.07.26 13:53:00	2019.07.26 15:30:00	-1.5	40	28.5	SHORT
259	2019.07.29 13:40:40	2019.07.29 14:10:40	-10.5	5.5	-10.5	SHORT
261	2019.07.29 15:26:40	2019.07.29 17:00:00	-14.5	115.5	107	SHORT
263	2019.07.29 19:11:40	2019.07.29 19:57:40	-28	5.5	-28	SHORT
267	2019.07.30 13:17:40	2019.07.30 14:30:00	-14.5	24.5	24	SHORT
270	2019.07.31 01:35:40	2019.07.31 03:18:40	-15.5	11.5	-15.5	SHORT
273	2019.07.31 13:16:40	2019.07.31 14:46:20	-9.5	18	-9.5	SHORT
276	2019.07.31 19:08:40	2019.07.31 21:30:00	-6	82.5	40	SHORT
284	2019.08.05 04:15:40	2019.08.05 04:30:00	-18	73	50	SHORT
286	2019.08.05 13:28:40	2019.08.05 16:00:00	-9	75.5	68.5	SHORT
288	2019.08.05 20:59:40	2019.08.05 23:30:00	-51.5	111.5	65	SHORT
295	2019.08.07 01:53:20	2019.08.07 02:30:00	-8.5	42.5	38.5	SHORT
297	2019.08.07 04:29:40	2019.08.07 06:30:00	-14	63	46.5	SHORT
300	2019.08.07 13:58:40	2019.08.07 15:00:00	-13	53	49.5	SHORT
306	2019.08.08 13:38:40	2019.08.08 16:02:40	-29	41	-29	SHORT
309	2019.08.09 05:14:40	2019.08.09 13:00:00	-20.5	40	35	SHORT
322	2019.08.14 11:37:40	2019.08.14 12:30:00	-2	56	50.5	SHORT
334	2019.08.16 19:18:40	2019.08.16 19:37:40	-40	2.5	-40	SHORT
338	2019.08.19 05:09:20	2019.08.19 05:45:40	-17	0	-17	SHORT
341	2019.08.19 13:30:40	2019.08.19 13:45:40	-18	8	-18	SHORT
343	2019.08.19 15:07:40	2019.08.19 16:21:40	-37	8.5	-37	SHORT
345	2019.08.19 19:00:40	2019.08.19 20:20:40	-36.5	2.5	-36.5	SHORT
347	2019.08.19 20:43:40	2019.08.19 23:00:00	-7.5	42.5	24	SHORT
352	2019.08.20 13:33:40	2019.08.20 14:30:00	-5	36	31.5	SHORT
358	2019.08.21 19:17:40	2019.08.21 21:00:00	-5.5	34	33	SHORT
371	2019.08.23 15:00:40	2019.08.23 15:30:00	34.5	189.5	151.5	SHORT
376	2019.08.27 01:35:40	2019.08.27 02:30:00	1	23	18	SHORT
382	2019.08.27 19:04:40	2019.08.27 22:02:40	-52.5	62	-52.5	SHORT
385	2019.08.28 11:39:40	2019.08.28 15:30:00	-34	92	83	SHORT
387	2019.08.28 19:12:40	2019.08.28 22:16:20	-33	34.5	-33	SHORT
392	2019.08.29 19:00:40	2019.08.29 19:36:40	-26.5	7	-26.5	SHORT
400	2019.09.02 01:32:40	2019.09.02 01:40:40	-19	11	-19	SHORT
413	2019.09.04 19:17:40	2019.09.04 19:46:40	-25	1.5	-25	SHORT
415	2019.09.04 20:40:40	2019.09.04 22:14:40	-14.5	21.5	-14.5	SHORT
418	2019.09.05 04:18:40	2019.09.05 04:26:40	-12	15.5	-12	SHORT
426	2019.09.06 15:29:40	2019.09.06 15:40:40	-20	34	-20	SHORT
432	2019.09.09 13:30:40	2019.09.09 14:00:00	-2	8.5	4.5	SHORT
436	2019.09.10 04:14:40	2019.09.10 04:26:40	-14	6	-14	SHORT
439	2019.09.10 13:44:40	2019.09.10 14:05:40	-17.5	6	-17.5	SHORT
443	2019.09.11 13:53:40	2019.09.11 14:26:40	-23	5	-23	SHORT
