Date	PNL	MAE	MFE
24.05.2019	22.5	-15.0	30.5
27.05.2019	56.0	-19.0	69.5
28.05.2019	83.5	54.0	109.0
29.05.2019	59.0	32.5	86.0
30.05.2019	106.5	7.5	120.0
31.05.2019	56.0	56.0	120.5
03.06.2019	61.0	29.5	72.5
04.06.2019	33.5	33.5	71.5
05.06.2019	48.5	31.0	64.0
06.06.2019	121.0	27.0	126.0
07.06.2019	163.5	120.5	175.5
10.06.2019	137.0	133.0	171.5
11.06.2019	147.5	130.5	170.0
12.06.2019	102.0	102.0	171.5
13.06.2019	216.0	59.5	216.0
14.06.2019	225.5	186.0	246.5
17.06.2019	230.0	215.0	251.0
18.06.2019	232.0	230.0	251.0
19.06.2019	233.0	231.0	239.5
20.06.2019	250.5	226.5	250.5
21.06.2019	272.0	242.0	273.5
24.06.2019	272.5	257.0	303.0
25.06.2019	329.5	270.5	334.0
26.06.2019	351.0	325.0	370.5
27.06.2019	379.5	342.5	379.5
28.06.2019	421.5	372.0	427.0
02.07.2019	428.0	414.5	457.0
03.07.2019	424.0	408.5	428.0
04.07.2019	425.0	397.5	426.5
05.07.2019	399.5	399.5	431.5
08.07.2019	395.5	350.0	406.0
09.07.2019	357.0	357.0	404.0
10.07.2019	321.0	321.0	357.0
11.07.2019	355.5	316.0	366.0
12.07.2019	374.0	355.5	402.0
15.07.2019	407.5	365.5	410.0
16.07.2019	413.5	403.5	434.0
17.07.2019	430.0	409.5	435.0
18.07.2019	437.5	400.5	445.5
19.07.2019	468.0	422.0	470.5
22.07.2019	500.5	467.5	515.5
23.07.2019	486.0	473.5	505.0
24.07.2019	498.0	480.0	510.0
25.07.2019	495.0	472.5	503.5
26.07.2019	512.0	492.5	537.5
29.07.2019	506.0	475.0	512.5
30.07.2019	486.5	486.5	508.0
31.07.2019	453.0	453.0	503.0
01.08.2019	476.0	446.0	518.5
02.08.2019	398.5	398.5	499.5
05.08.2019	392.0	352.5	429.5
06.08.2019	761.0	374.5	765.0
07.08.2019	806.5	715.0	808.5
08.08.2019	901.5	806.5	906.5
09.08.2019	969.0	898.0	973.5
12.08.2019	1027.5	953.0	1038.0
13.08.2019	1008.5	1008.5	1060.5
14.08.2019	990.5	957.0	1025.5
15.08.2019	1136.5	990.5	1146.5
16.08.2019	1165.5	1118.5	1199.0
19.08.2019	1199.5	1145.0	1201.0
20.08.2019	1230.0	1184.5	1240.5
21.08.2019	1287.0	1225.5	1287.5
22.08.2019	1291.5	1248.5	1310.5
23.08.2019	1341.5	1277.5	1341.5
26.08.2019	1481.5	1307.5	1502.0
27.08.2019	1485.0	1474.0	1552.0
28.08.2019	1460.5	1460.5	1516.0
29.08.2019	1505.0	1453.5	1511.5
30.08.2019	1512.5	1493.5	1535.0
02.09.2019	1520.0	1512.5	1548.5
03.09.2019	1543.0	1508.0	1601.5
04.09.2019	1630.0	1526.5	1648.0
05.09.2019	1635.0	1621.0	1674.5
06.09.2019	1662.0	1626.0	1670.0
09.09.2019	1646.0	1646.0	1690.0
10.09.2019	1651.0	1640.0	1665.5
11.09.2019	1690.5	1632.5	1731.5
12.09.2019	1799.5	1690.5	1827.0
13.09.2019	1838.0	1799.5	1842.5
16.09.2019	1911.5	1822.5	1931.0
17.09.2019	1888.5	1888.5	1915.5
18.09.2019	1879.5	1879.5	1889.0
19.09.2019	1864.5	1864.5	1893.0
20.09.2019	1891.0	1860.5	1893.0
23.09.2019	1887.0	1866.0	1901.0
24.09.2019	1891.0	1870.0	1894.5
25.09.2019	1880.0	1880.0	1930.0
26.09.2019	1884.5	1825.0	1893.5
27.09.2019	1904.5	1855.0	1926.5
30.09.2019	1945.0	1891.0	1961.0
01.10.2019	1972.5	1922.5	1987.0
02.10.2019	1948.5	1948.5	2006.5
03.10.2019	1934.5	1887.0	1974.5
04.10.2019	1921.5	1910.0	1934.5
07.10.2019	1932.0	1893.5	1970.0
08.10.2019	1966.0	1925.5	2004.5
09.10.2019	1967.0	1962.0	2011.0
10.10.2019	2084.0	1934.0	2131.5
11.10.2019	2080.5	2016.0	2132.0
14.10.2019	2036.0	2036.0	2094.5
15.10.2019	2065.5	2027.0	2072.5
16.10.2019	2065.5	2026.5	2078.0
17.10.2019	2042.0	2042.0	2077.0
18.10.2019	1988.0	1988.0	2048.5
21.10.2019	1982.0	1982.0	2015.0
22.10.2019	2007.0	1976.5	2040.5
23.10.2019	1984.5	1947.5	2007.5
24.10.2019	2006.5	1973.0	2010.5
25.10.2019	2073.5	1986.5	2086.5
28.10.2019	2050.0	2050.0	2083.5
29.10.2019	2034.5	2034.5	2064.5
30.10.2019	2059.0	2018.0	2064.0
31.10.2019	2069.5	2041.0	2071.5
01.11.2019	2089.0	2067.0	2089.0
04.11.2019	2105.5	2086.5	2119.0
05.11.2019	2144.0	2105.5	2165.5
06.11.2019	2162.5	2135.5	2163.0
07.11.2019	2167.5	2152.5	2176.0
08.11.2019	2161.5	2132.5	2169.5
11.11.2019	2148.5	2148.5	2163.5
12.11.2019	2147.5	2133.0	2153.5
13.11.2019	2149.0	2126.5	2150.0
14.11.2019	2154.0	2148.5	2185.5
15.11.2019	2222.5	2147.5	2235.5
18.11.2019	2285.5	2212.0	2327.0
19.11.2019	2343.5	2284.0	2353.5
20.11.2019	2348.0	2313.5	2353.5
21.11.2019	2368.0	2348.0	2416.5
22.11.2019	2393.5	2367.5	2401.0
25.11.2019	2392.5	2391.0	2409.0
26.11.2019	2387.5	2387.5	2474.5
27.11.2019	2400.0	2376.0	2402.5
28.11.2019	2417.0	2387.0	2421.0
29.11.2019	2419.5	2390.5	2422.5
02.12.2019	2445.5	2407.0	2466.0
03.12.2019	2397.5	2397.5	2487.5
04.12.2019	2410.0	2386.0	2424.0
05.12.2019	2387.5	2374.5	2431.0
06.12.2019	2412.0	2380.5	2426.5
09.12.2019	2429.0	2406.5	2433.0
10.12.2019	2425.0	2402.5	2440.0
11.12.2019	2433.0	2420.0	2446.0
12.12.2019	2437.5	2427.5	2440.5
13.12.2019	2413.0	2413.0	2452.0
16.12.2019	2420.5	2406.5	2433.5
17.12.2019	2449.0	2414.5	2453.5
18.12.2019	2436.5	2436.5	2468.5
19.12.2019	2434.0	2425.0	2443.5
20.12.2019	2391.0	2391.0	2438.0
23.12.2019	2386.0	2386.0	2395.5
24.12.2019	2398.5	2378.0	2401.5
26.12.2019	2421.0	2398.0	2428.5
27.12.2019	2420.5	2416.5	2438.0
30.12.2019	2451.5	2420.5	2461.0
31.12.2019	2466.5	2444.0	2475.0
02.01.2020	2490.0	2445.0	2495.0
03.01.2020	2475.5	2475.5	2497.5
06.01.2020	2495.0	2457.0	2499.0
07.01.2020	2542.5	2485.5	2554.5
08.01.2020	2613.5	2510.0	2691.0
09.01.2020	2639.0	2574.0	2645.0
10.01.2020	2670.5	2635.0	2686.0
13.01.2020	2760.0	2670.5	2762.0
14.01.2020	2726.0	2726.0	2761.0
15.01.2020	2727.5	2697.5	2753.0
16.01.2020	2708.5	2708.5	2731.5
17.01.2020	2698.0	2676.5	2712.0
20.01.2020	2670.0	2670.0	2711.5
21.01.2020	2646.5	2646.5	2673.5
22.01.2020	2713.0	2645.5	2744.5
23.01.2020	2660.0	2660.0	2719.0
24.01.2020	2637.0	2637.0	2662.0
27.01.2020	2571.5	2571.5	2691.5
28.01.2020	2619.5	2552.5	2630.0
29.01.2020	2668.5	2619.5	2673.0
30.01.2020	2574.0	2574.0	2674.0
31.01.2020	2538.0	2538.0	2596.5
03.02.2020	2582.5	2519.0	2653.5
04.02.2020	2644.0	2581.0	2695.5
05.02.2020	2646.5	2582.5	2669.5
06.02.2020	2722.0	2635.5	2755.5
07.02.2020	2682.0	2682.0	2763.5
10.02.2020	2673.0	2642.0	2753.0
11.02.2020	2674.0	2663.0	2699.5
12.02.2020	2684.0	2641.0	2690.5
13.02.2020	2654.0	2654.0	2706.5
14.02.2020	2680.0	2645.5	2697.0
17.02.2020	2753.5	2680.0	2756.0
18.02.2020	2724.5	2724.5	2758.0
19.02.2020	2767.5	2702.5	2771.0
20.02.2020	2838.0	2767.5	2844.0
21.02.2020	2738.0	2738.0	2862.5
24.02.2020	2671.5	2671.5	2770.5
25.02.2020	2694.5	2642.0	2702.0
26.02.2020	2603.0	2603.0	2766.0
27.02.2020	2355.0	2252.5	2621.0
28.02.2020	2322.5	2146.0	2402.5
02.03.2020	2548.5	2192.0	2567.0
03.03.2020	2497.5	2346.5	2629.5
04.03.2020	2758.5	2497.5	2797.0
05.03.2020	2670.0	2624.0	2769.5
06.03.2020	2614.0	2614.0	2763.5
09.03.2020	2463.5	2463.5	2618.0
10.03.2020	2542.0	2313.0	2646.0
11.03.2020	2301.5	2126.5	2574.0
12.03.2020	2280.0	2280.0	2556.5
13.03.2020	2124.5	2009.0	2386.0
18.03.2020	2321.0	2061.0	2364.5
19.03.2020	2231.5	1975.0	2697.0
20.03.2020	2765.5	2143.5	2769.0
23.03.2020	2921.0	2651.5	3010.0
24.03.2020	3462.0	2900.0	3462.0
25.03.2020	3527.5	3081.0	3554.0
26.03.2020	3280.0	3280.0	3644.5
27.03.2020	3148.5	3008.5	3329.5
30.03.2020	3363.5	3096.0	3389.5
31.03.2020	3495.0	3334.0	3496.5
01.04.2020	3304.5	3304.5	3507.0
02.04.2020	3357.5	3216.0	3365.5
03.04.2020	3190.5	3190.5	3375.0
06.04.2020	3451.5	3159.5	3508.0
07.04.2020	3658.0	3451.5	3677.5
08.04.2020	3730.5	3515.5	3762.0
09.04.2020	3767.0	3629.5	3815.5
13.04.2020	3875.5	3694.5	3875.5
14.04.2020	4005.5	3865.5	4076.0
15.04.2020	3804.0	3804.0	4014.5
16.04.2020	3805.5	3743.5	3859.5
17.04.2020	3700.5	3700.5	3844.0
20.04.2020	3736.0	3688.0	3857.0
21.04.2020	3531.5	3531.5	3783.5
22.04.2020	3502.5	3396.5	3596.0
23.04.2020	3372.5	3316.5	3513.0
24.04.2020	3484.5	3258.5	3506.0
27.04.2020	3579.5	3438.5	3588.5
28.04.2020	3603.0	3548.5	3617.5
29.04.2020	3692.5	3594.5	3765.5
30.04.2020	3708.5	3622.5	3767.5
01.05.2020	3609.5	3609.5	3736.5
04.05.2020	3792.0	3588.0	3810.0
05.05.2020	3943.0	3775.0	3943.0
06.05.2020	4070.0	3922.0	4074.0
07.05.2020	4143.0	4022.5	4149.5
08.05.2020	4279.0	4140.0	4289.5
11.05.2020	4207.0	4207.0	4306.0
12.05.2020	4236.0	4193.0	4263.5
13.05.2020	4411.5	4180.0	4426.0
14.05.2020	4375.0	4224.5	4426.5
15.05.2020	4509.0	4362.5	4522.5
18.05.2020	4525.5	4456.5	4541.5
19.05.2020	4643.5	4519.0	4653.5
20.05.2020	4668.0	4593.5	4681.0
21.05.2020	4622.5	4622.5	4691.0
22.05.2020	4559.0	4559.0	4668.5
25.05.2020	4636.5	4497.5	4656.0
26.05.2020	4700.0	4636.5	4762.5
27.05.2020	4800.5	4697.5	4834.5
28.05.2020	4725.0	4725.0	4901.0
29.05.2020	4630.0	4630.0	4779.5
01.06.2020	4749.5	4630.0	4763.5
02.06.2020	4798.0	4711.0	4799.0
03.06.2020	4778.0	4778.0	4873.0
04.06.2020	4667.0	4667.0	4802.5
05.06.2020	4750.0	4637.0	4761.5
08.06.2020	4735.0	4735.0	4785.0
09.06.2020	4759.0	4699.0	4777.0
10.06.2020	4774.0	4755.0	4809.5
11.06.2020	4687.5	4687.5	4816.5
12.06.2020	4919.5	4677.5	4929.0
15.06.2020	4841.5	4841.5	4955.5
