Date	Daily_PNL	Daily_MAE	Daily_MFE	Equity_Close	Equity_Peak	Equity_Trough	Trailing_DD	Worst_DD_So_Far
24.05.2019	-55.5	-55.5	40.5	-55.5	40.5	-55.5	-96	-96
26.05.2019	-10	-10	9	-65.5	40.5	-65.5	-106	-106
27.05.2019	24	-31.5	57	-41.5	40.5	-97	-137.5	-137.5
28.05.2019	61.5	-2	156.5	20	115	-43.5	-158.5	-158.5
29.05.2019	-55	-121.5	14	-35	115	-101.5	-216.5	-216.5
30.05.2019	-16.5	-51.5	61	-51.5	115	-86.5	-201.5	-216.5
31.05.2019	-112.5	-112.5	24	-164	115	-164	-279	-279
03.06.2019	-29	-37.5	88.5	-193	115	-201.5	-316.5	-316.5
04.06.2019	82.5	-44	89	-110.5	115	-237	-352	-352
05.06.2019	56	-55	63.5	-54.5	115	-165.5	-280.5	-352
06.06.2019	207	-21.5	214.5	152.5	160	-76	-236	-352
07.06.2019	107.5	-5.5	110.5	260	263	147	-116	-352
10.06.2019	-78	-86	8	182	268	174	-94	-352
11.06.2019	3.5	-6.5	67	185.5	268	175.5	-92.5	-352
12.06.2019	-41.5	-59.5	10.5	144	268	126	-142	-352
13.06.2019	130.5	-42.5	166.5	274.5	310.5	101.5	-209	-352
14.06.2019	4	-20.5	55	278.5	329.5	254	-75.5	-352
16.06.2019	21.5	-10.5	25.5	300	329.5	268	-61.5	-352
17.06.2019	61.5	-17.5	96	361.5	396	282.5	-113.5	-352
18.06.2019	158.5	-5	257	520	618.5	356.5	-262	-352
19.06.2019	-113.5	-113.5	7.5	406.5	618.5	406.5	-212	-352
20.06.2019	81	-6.5	107.5	487.5	618.5	400	-218.5	-352
21.06.2019	-81	-89.5	31	406.5	618.5	398	-220.5	-352
23.06.2019	-15	-15	7	391.5	618.5	391.5	-227	-352
24.06.2019	-34	-34	46	357.5	618.5	357.5	-261	-352
25.06.2019	34	-2	65.5	391.5	618.5	355.5	-263	-352
26.06.2019	121.5	-4.5	184	513	618.5	387	-231.5	-352
27.06.2019	-35.5	-37	39	477.5	618.5	476	-142.5	-352
28.06.2019	38.5	-7.5	53.5	516	618.5	470	-148.5	-352
01.07.2019	24.5	-1.5	36.5	540.5	618.5	514.5	-104	-352
02.07.2019	74	-7.5	80.5	614.5	621	533	-88	-352
03.07.2019	7.5	-34	25.5	622	640	580.5	-59.5	-352
04.07.2019	3	-26.5	20	625	642	595.5	-46.5	-352
05.07.2019	22	-99.5	26	647	651	525.5	-125.5	-352
07.07.2019	-9	-9	3	638	651	638	-13	-352
08.07.2019	0.5	-40.5	28	638.5	666	597.5	-68.5	-352
09.07.2019	36.5	-47	60.5	675	699	591.5	-107.5	-352
10.07.2019	231	-48.5	253	906	928	626.5	-301.5	-352
11.07.2019	6.5	-34	61.5	912.5	967.5	872	-95.5	-352
12.07.2019	62	-24.5	64	974.5	976.5	888	-88.5	-352
15.07.2019	76.5	-8.5	83.5	1051	1058	966	-92	-352
16.07.2019	-94.5	-120.5	2.5	956.5	1058	930.5	-127.5	-352
17.07.2019	-31	-31	21.5	925.5	1058	925.5	-132.5	-352
18.07.2019	189	-19.5	191.5	1114.5	1117	906	-211	-352
19.07.2019	-63.5	-63.5	69	1051	1183.5	1051	-132.5	-352
22.07.2019	126.5	-0.5	165	1177.5	1216	1050.5	-165.5	-352
23.07.2019	27	-61.5	29	1204.5	1216	1116	-100	-352
24.07.2019	83	-15.5	97.5	1287.5	1302	1189	-113	-352
25.07.2019	-25	-58.5	42.5	1262.5	1330	1229	-101	-352
26.07.2019	81.5	-6	104	1344	1366.5	1256.5	-110	-352
29.07.2019	23	-37	40	1367	1384	1307	-77	-352
30.07.2019	-10	-86	19.5	1357	1386.5	1281	-105.5	-352
31.07.2019	-70.5	-70.5	13	1286.5	1386.5	1286.5	-100	-352
01.08.2019	118.5	-7	157.5	1405	1444	1279.5	-164.5	-352
02.08.2019	-275	-345	23.5	1130	1444	1060	-384	-384
05.08.2019	-128	-201	31	1002	1444	929	-515	-515
06.08.2019	446	-17.5	471.5	1448	1473.5	984.5	-489	-515
07.08.2019	209.5	-46	257	1657.5	1705	1402	-303	-515
08.08.2019	313	0	322.5	1970.5	1980	1657.5	-322.5	-515
09.08.2019	63	-38	137.5	2033.5	2108	1932.5	-175.5	-515
12.08.2019	-65	-99	78	1968.5	2111.5	1934.5	-177	-515
13.08.2019	77.5	-162.5	288	2046	2256.5	1806	-450.5	-515
14.08.2019	-125	-180	34	1921	2256.5	1866	-390.5	-515
15.08.2019	40.5	-29.5	201.5	1961.5	2256.5	1891.5	-365	-515
16.08.2019	50.5	0	112	2012	2256.5	1961.5	-295	-515
18.08.2019	-18.5	-18.5	13.5	1993.5	2256.5	1993.5	-263	-515
19.08.2019	92	-2	137	2085.5	2256.5	1991.5	-265	-515
20.08.2019	-56.5	-82	52	2029	2256.5	2003.5	-253	-515
21.08.2019	-6.5	-15.5	79	2022.5	2256.5	2013.5	-243	-515
22.08.2019	58.5	-27	88	2081	2256.5	1995.5	-261	-515
23.08.2019	-169.5	-169.5	29	1911.5	2256.5	1911.5	-345	-515
26.08.2019	48	-45.5	194.5	1959.5	2256.5	1866	-390.5	-515
27.08.2019	95	-33	168	2054.5	2256.5	1926.5	-330	-515
28.08.2019	-93	-166	31	1961.5	2256.5	1888.5	-368	-515
29.08.2019	139.5	-7	205	2101	2256.5	1954.5	-302	-515
30.08.2019	36	-11.5	81.5	2137	2256.5	2089.5	-167	-515
02.09.2019	149.5	0	161.5	2286.5	2298.5	2137	-161.5	-515
03.09.2019	-18.5	-105	22.5	2268	2309	2181.5	-127.5	-515
04.09.2019	110.5	0	129	2378.5	2397	2268	-129	-515
05.09.2019	162	-1	164.5	2540.5	2543	2377.5	-165.5	-515
06.09.2019	-37.5	-49	36.5	2503	2577	2491.5	-85.5	-515
09.09.2019	30	-20.5	33	2533	2577	2482.5	-94.5	-515
10.09.2019	43	-85.5	59.5	2576	2592.5	2447.5	-145	-515
11.09.2019	174.5	-4.5	194.5	2750.5	2770.5	2571.5	-199	-515
12.09.2019	-67	-87	18.5	2683.5	2770.5	2663.5	-107	-515
13.09.2019	-119.5	-124.5	37	2564	2770.5	2559	-211.5	-515
16.09.2019	87	-15.5	154.5	2651	2770.5	2548.5	-222	-515
17.09.2019	57	-29	62.5	2708	2770.5	2622	-148.5	-515
18.09.2019	-77.5	-116.5	1.5	2630.5	2770.5	2591.5	-179	-515
19.09.2019	-7	-15	63.5	2623.5	2770.5	2615.5	-155	-515
20.09.2019	9	-4	80.5	2632.5	2770.5	2619.5	-151	-515
23.09.2019	-15.5	-68.5	36	2617	2770.5	2564	-206.5	-515
24.09.2019	-42	-59.5	35.5	2575	2770.5	2557.5	-213	-515
25.09.2019	14.5	-44.5	45.5	2589.5	2770.5	2530.5	-240	-515
26.09.2019	53.5	-31.5	118.5	2643	2770.5	2558	-212.5	-515
27.09.2019	67.5	-16	83.5	2710.5	2770.5	2627	-143.5	-515
30.09.2019	77.5	-21.5	81.5	2788	2792	2689	-103	-515
01.10.2019	0	-42.5	58	2788	2846	2745.5	-100.5	-515
02.10.2019	-0.5	-49.5	71	2787.5	2859	2738.5	-120.5	-515
03.10.2019	124.5	-43.5	130	2912	2917.5	2744	-173.5	-515
04.10.2019	130.5	-59	149	3042.5	3061	2853	-208	-515
06.10.2019	10.5	-28	48.5	3053	3091	3014.5	-76.5	-515
07.10.2019	-15	-57.5	46.5	3038	3099.5	2995.5	-104	-515
08.10.2019	-41	-110.5	67	2997	3105	2927.5	-177.5	-515
09.10.2019	207	-21	261	3204	3258	2976	-282	-515
10.10.2019	4	-60	154	3208	3358	3144	-214	-515
11.10.2019	66	-26.5	118	3274	3358	3181.5	-176.5	-515
14.10.2019	-57.5	-75.5	14	3216.5	3358	3198.5	-159.5	-515
15.10.2019	8	-15.5	47	3224.5	3358	3201	-157	-515
16.10.2019	-37	-64.5	14.5	3187.5	3358	3160	-198	-515
17.10.2019	-26.5	-52	21.5	3161	3358	3135.5	-222.5	-515
18.10.2019	-34.5	-60	36.5	3126.5	3358	3101	-257	-515
20.10.2019	23	0	26	3149.5	3358	3126.5	-231.5	-515
21.10.2019	47.5	-44	61.5	3197	3358	3105.5	-252.5	-515
22.10.2019	-78.5	-78.5	41.5	3118.5	3358	3118.5	-239.5	-515
23.10.2019	93	-17.5	98	3211.5	3358	3101	-257	-515
