Ticket	Entry_time	Exit_time	MAE	MFE	PNL	
3	2019.05.24 05:00:20	2019.05.24 08:30:40	-17.5	16	-17.5	SHORT
7	2019.05.28 04:27:40	2019.05.28 04:50:40	-13.5	6	-13.5	SHORT
12	2019.05.31 05:24:20	2019.05.31 06:52:40	-29.5	23	-29.5	SHORT
14	2019.06.03 04:08:20	2019.06.03 04:31:40	-17	4	-17	SHORT
21	2019.06.10 01:50:00	2019.06.10 16:32:40	-47.5	58.5	-47.5	SHORT
25	2019.06.14 05:04:40	2019.06.14 10:00:00	-28	47	38.5	SHORT
34	2019.06.21 04:04:20	2019.06.21 06:00:00	-7	32.5	23.5	SHORT
39	2019.06.25 04:10:40	2019.06.25 05:00:00	-2	16.5	15.5	SHORT
50	2019.07.04 05:15:40	2019.07.04 10:17:40	-9	9.5	-9	SHORT
54	2019.07.09 04:05:40	2019.07.09 06:00:00	-8	28	24.5	SHORT
60	2019.07.12 01:49:40	2019.07.12 02:53:40	-10.5	5	-10.5	SHORT
72	2019.07.23 01:30:40	2019.07.23 03:19:40	-9.5	13	-9.5	SHORT
78	2019.07.26 01:39:40	2019.07.26 03:23:40	-16.5	5	-16.5	SHORT
83	2019.07.31 01:35:40	2019.07.31 03:18:40	-15.5	11.5	-15.5	SHORT
89	2019.08.05 04:15:40	2019.08.05 04:30:00	-18	73	50	SHORT
93	2019.08.07 01:53:20	2019.08.07 02:30:00	-8.5	42.5	38.5	SHORT
95	2019.08.07 04:29:40	2019.08.07 06:30:00	-14	63	46.5	SHORT
99	2019.08.09 05:14:40	2019.08.09 13:00:00	-20.5	40	35	SHORT
109	2019.08.19 05:09:20	2019.08.19 05:45:40	-17	0	-17	SHORT
120	2019.08.27 01:35:40	2019.08.27 02:30:00	1	23	18	SHORT
127	2019.09.02 01:32:40	2019.09.02 01:40:40	-19	11	-19	SHORT
135	2019.09.05 04:18:40	2019.09.05 04:26:40	-12	15.5	-12	SHORT
142	2019.09.10 04:14:40	2019.09.10 04:26:40	-14	6	-14	SHORT
149	2019.09.17 01:50:40	2019.09.17 04:30:00	-19	33	30	SHORT
151	2019.09.20 04:00:30	2019.09.20 04:02:30	-5.5	0.5	-5.5	SHORT
156	2019.09.26 01:31:40	2019.09.26 02:30:00	1	25	22	SHORT
162	2019.10.01 01:42:40	2019.10.01 03:38:40	-20	6	-20	SHORT
165	2019.10.02 04:15:40	2019.10.02 09:30:00	-16.5	34	28.5	SHORT
169	2019.10.07 05:13:40	2019.10.07 07:22:40	-17	5.5	-17	SHORT
173	2019.10.09 01:54:40	2019.10.09 03:02:40	-20	32	-20	SHORT
195	2019.10.28 04:02:40	2019.10.28 04:31:40	-7	4	-7	SHORT
199	2019.10.30 01:59:40	2019.10.30 05:00:00	-9.5	21.5	14.5	SHORT
201	2019.10.31 04:00:40	2019.10.31 10:00:00	-7	21	11	SHORT
216	2019.11.14 04:03:40	2019.11.14 11:00:00	-8.5	49	34	SHORT
223	2019.11.19 05:00:40	2019.11.19 08:24:40	-16.5	5	-16.5	SHORT
225	2019.11.22 01:44:40	2019.11.22 02:38:00	-11.5	18.5	-11.5	SHORT
237	2019.11.29 05:14:40	2019.11.29 07:30:00	-1.5	16.5	12.5	SHORT
243	2019.12.04 05:00:40	2019.12.04 05:26:40	-10	8	-10	SHORT
245	2019.12.05 01:46:40	2019.12.05 03:15:40	-17	12	-17	SHORT
254	2019.12.11 01:37:40	2019.12.11 03:30:00	-5	24.5	22	SHORT
264	2019.12.17 04:18:30	2019.12.17 04:40:30	-9	1.5	-9	SHORT
270	2019.12.20 05:05:40	2019.12.20 08:00:30	-5.5	14.5	11.5	SHORT
277	2019.12.26 05:00:40	2019.12.26 08:09:40	-6	7	-6	SHORT
284	2019.12.31 04:00:40	2019.12.31 04:15:40	-6	0.5	-6	SHORT
286	2019.12.31 05:03:40	2019.12.31 09:30:00	-4.5	20.5	18	SHORT
291	2020.01.03 01:57:40	2020.01.03 03:18:40	-18	2.5	-18	SHORT
293	2020.01.07 01:43:40	2020.01.07 02:27:40	-18.5	7	-18.5	SHORT
298	2020.01.09 01:36:40	2020.01.09 02:11:40	-34.5	6.5	-34.5	SHORT
305	2020.01.15 04:02:40	2020.01.15 04:30:00	-2	30.5	29.5	SHORT
