Run_Start	Date	Contracts	PnL_Today	Cumulative_PnL	Peak_PnL	Trailing_Floor
2022-08-01	2022-08-01	1	-173.0	-173.0	0	-1500
2022-08-01	2022-08-02	1	274.5	101.5	0	-1500
2022-08-01	2022-08-03	1	467.0	568.5	0	-1500
2022-08-01	2022-08-04	1	-67.0	501.5	0	-1500
2022-08-01	2022-08-05	1	85.0	586.5	0	-1500
2022-08-01	2022-08-08	1	256.5	843.0	0	-1500
2022-08-01	2022-08-09	1	31.5	874.5	0	-1500
2022-08-01	2022-08-10	1	27.0	901.5	0	-1500
2022-08-01	2022-08-11	1	-181.0	720.5	0	-1500
2022-08-01	2022-08-12	1	225.0	945.5	0	-1500
2022-08-01	2022-08-15	1	194.0	1139.5	0	-1500
2022-08-01	2022-08-16	1	171.5	1311.0	0	-1500
2022-08-01	2022-08-17	1	98.0	1409.0	0	-1500
2022-08-01	2022-08-18	1	92.0	1501.0	0	-1500
2022-08-02	2022-08-02	1	274.5	274.5	0	-1500
2022-08-02	2022-08-03	1	467.0	741.5	0	-1500
2022-08-02	2022-08-04	1	-67.0	674.5	0	-1500
2022-08-02	2022-08-05	1	85.0	759.5	0	-1500
2022-08-02	2022-08-08	1	256.5	1016.0	0	-1500
2022-08-02	2022-08-09	1	31.5	1047.5	0	-1500
2022-08-02	2022-08-10	1	27.0	1074.5	0	-1500
2022-08-02	2022-08-11	1	-181.0	893.5	0	-1500
2022-08-02	2022-08-12	1	225.0	1118.5	0	-1500
2022-08-02	2022-08-15	1	194.0	1312.5	0	-1500
2022-08-02	2022-08-16	1	171.5	1484.0	0	-1500
2022-08-02	2022-08-17	1	98.0	1582.0	0	-1500
2022-08-03	2022-08-03	1	467.0	467.0	0	-1500
2022-08-03	2022-08-04	1	-67.0	400.0	0	-1500
2022-08-03	2022-08-05	1	85.0	485.0	0	-1500
2022-08-03	2022-08-08	1	256.5	741.5	0	-1500
2022-08-03	2022-08-09	1	31.5	773.0	0	-1500
2022-08-03	2022-08-10	1	27.0	800.0	0	-1500
2022-08-03	2022-08-11	1	-181.0	619.0	0	-1500
2022-08-03	2022-08-12	1	225.0	844.0	0	-1500
2022-08-03	2022-08-15	1	194.0	1038.0	0	-1500
2022-08-03	2022-08-16	1	171.5	1209.5	0	-1500
2022-08-03	2022-08-17	1	98.0	1307.5	0	-1500
2022-08-03	2022-08-18	1	92.0	1399.5	0	-1500
2022-08-03	2022-08-19	1	-179.0	1220.5	0	-1500
2022-08-03	2022-08-22	1	-162.0	1058.5	0	-1500
2022-08-03	2022-08-23	1	-10.5	1048.0	0	-1500
2022-08-03	2022-08-24	1	-94.0	954.0	0	-1500
2022-08-03	2022-08-25	1	378.5	1332.5	0	-1500
2022-08-03	2022-08-26	1	-129.0	1203.5	0	-1500
2022-08-03	2022-08-29	1	27.0	1230.5	0	-1500
2022-08-03	2022-08-30	1	130.5	1361.0	0	-1500
2022-08-03	2022-08-31	1	-148.0	1213.0	0	-1500
2022-08-03	2022-09-01	1	-0.5	1212.5	0	-1500
2022-08-03	2022-09-02	1	114.0	1326.5	0	-1500
2022-08-03	2022-09-05	1	-217.0	1109.5	0	-1500
2022-08-03	2022-09-06	1	31.5	1141.0	0	-1500
2022-08-03	2022-09-07	1	356.5	1497.5	0	-1500
2022-08-03	2022-09-08	1	138.0	1635.5	0	-1500
2022-08-04	2022-08-04	1	-67.0	-67.0	0	-1500
2022-08-04	2022-08-05	1	85.0	18.0	0	-1500
2022-08-04	2022-08-08	1	256.5	274.5	0	-1500
2022-08-04	2022-08-09	1	31.5	306.0	0	-1500
2022-08-04	2022-08-10	1	27.0	333.0	0	-1500
2022-08-04	2022-08-11	1	-181.0	152.0	0	-1500
2022-08-04	2022-08-12	1	225.0	377.0	0	-1500
2022-08-04	2022-08-15	1	194.0	571.0	0	-1500
2022-08-04	2022-08-16	1	171.5	742.5	0	-1500
2022-08-04	2022-08-17	1	98.0	840.5	0	-1500
2022-08-04	2022-08-18	1	92.0	932.5	0	-1500
2022-08-04	2022-08-19	1	-179.0	753.5	0	-1500
2022-08-04	2022-08-22	1	-162.0	591.5	0	-1500
2022-08-04	2022-08-23	1	-10.5	581.0	0	-1500
2022-08-04	2022-08-24	1	-94.0	487.0	0	-1500
2022-08-04	2022-08-25	1	378.5	865.5	0	-1500
2022-08-04	2022-08-26	1	-129.0	736.5	0	-1500
2022-08-04	2022-08-29	1	27.0	763.5	0	-1500
2022-08-04	2022-08-30	1	130.5	894.0	0	-1500
2022-08-04	2022-08-31	1	-148.0	746.0	0	-1500
2022-08-04	2022-09-01	1	-0.5	745.5	0	-1500
2022-08-04	2022-09-02	1	114.0	859.5	0	-1500
2022-08-04	2022-09-05	1	-217.0	642.5	0	-1500
2022-08-04	2022-09-06	1	31.5	674.0	0	-1500
2022-08-04	2022-09-07	1	356.5	1030.5	0	-1500
2022-08-04	2022-09-08	1	138.0	1168.5	0	-1500
2022-08-04	2022-09-09	1	228.5	1397.0	0	-1500
2022-08-04	2022-09-12	1	249.5	1646.5	0	-1500
2022-08-05	2022-08-05	1	85.0	85.0	0	-1500
2022-08-05	2022-08-08	1	256.5	341.5	0	-1500
2022-08-05	2022-08-09	1	31.5	373.0	0	-1500
2022-08-05	2022-08-10	1	27.0	400.0	0	-1500
2022-08-05	2022-08-11	1	-181.0	219.0	0	-1500
