Run_Start	Date	Contracts	Cumulative_PnL_Today	Cumulative_PnL	Peak_PnL	Trailing_Floor
2019-05-24	2019-05-24	3	0.0	0.0	78.0	-1422.0
2019-05-24	2019-05-27	3	42.0	42.0	78.0	-1422.0
2019-05-24	2019-05-28	3	264.0	306.0	340.5	-1159.5
2019-05-24	2019-05-29	3	-244.5	61.5	340.5	-1159.5
2019-05-24	2019-05-30	3	-19.5	42.0	340.5	-1159.5
2019-05-24	2019-05-31	3	-367.5	-325.5	340.5	-1159.5
2019-05-24	2019-06-03	3	-87.0	-412.5	340.5	-1159.5
2019-05-24	2019-06-04	3	247.5	-165.0	340.5	-1159.5
2019-05-24	2019-06-05	3	168.0	3.0	340.5	-1159.5
2019-05-24	2019-06-06	3	577.5	580.5	580.5	-919.5
2019-05-24	2019-06-07	3	366.0	946.5	946.5	-553.5
2019-05-24	2019-06-10	3	-234.0	712.5	946.5	-553.5
2019-05-24	2019-06-11	3	100.5	813.0	946.5	-553.5
2019-05-24	2019-06-12	3	-214.5	598.5	946.5	-553.5
2019-05-24	2019-06-13	3	439.5	1038.0	1048.5	-451.5
2019-05-24	2019-06-14	3	-36.0	1002.0	1048.5	-451.5
2019-05-24	2019-06-17	3	249.0	1251.0	1270.5	-229.5
2019-05-24	2019-06-18	3	249.0	1500.0	1270.5	-229.5
2019-05-27	2019-05-27	3	42.0	42.0	61.5	-1438.5
2019-05-27	2019-05-28	3	264.0	306.0	340.5	-1159.5
2019-05-27	2019-05-29	3	-244.5	61.5	340.5	-1159.5
2019-05-27	2019-05-30	3	-19.5	42.0	340.5	-1159.5
2019-05-27	2019-05-31	3	-367.5	-325.5	340.5	-1159.5
2019-05-27	2019-06-03	3	-87.0	-412.5	340.5	-1159.5
2019-05-27	2019-06-04	3	247.5	-165.0	340.5	-1159.5
2019-05-27	2019-06-05	3	168.0	3.0	340.5	-1159.5
2019-05-27	2019-06-06	3	577.5	580.5	580.5	-919.5
2019-05-27	2019-06-07	3	366.0	946.5	946.5	-553.5
2019-05-27	2019-06-10	3	-234.0	712.5	946.5	-553.5
2019-05-27	2019-06-11	3	100.5	813.0	946.5	-553.5
2019-05-27	2019-06-12	3	-214.5	598.5	946.5	-553.5
2019-05-27	2019-06-13	3	439.5	1038.0	1048.5	-451.5
2019-05-27	2019-06-14	3	-36.0	1002.0	1048.5	-451.5
2019-05-27	2019-06-17	3	249.0	1251.0	1270.5	-229.5
2019-05-27	2019-06-18	3	249.0	1500.0	1270.5	-229.5
2019-06-03	2019-06-03	3	-87.0	-87.0	17.0	-1483.0
2019-06-03	2019-06-04	3	247.5	160.5	160.5	-1339.5
2019-06-03	2019-06-05	3	168.0	328.5	328.5	-1171.5
2019-06-03	2019-06-06	3	577.5	906.0	906.0	-594.0
2019-06-03	2019-06-07	3	366.0	1272.0	1272.0	-228.0
2019-06-03	2019-06-10	3	-234.0	1038.0	1272.0	-228.0
2019-06-03	2019-06-11	3	100.5	1138.5	1272.0	-228.0
2019-06-03	2019-06-12	3	-214.5	924.0	1272.0	-228.0
2019-06-03	2019-06-13	3	439.5	1363.5	1374.0	-126.0
