Date	Quantity of positions	Volume	P.L	Average P.L	Comission	Gross	Net	Open	Hi	Low	Close
24.05.2019	4	4.00	-55.50	-13.88	0.00	-55.50	-55.50	0.00	22.50	-55.50	-55.50
27.05.2019	5	5.00	14.00	2.80	0.00	-41.50	-41.50	-55.50	-22.00	-65.50	-41.50
28.05.2019	7	7.00	88.00	12.57	0.00	46.50	46.50	-41.50	81.00	-41.50	46.50
29.05.2019	6	6.00	-81.50	-13.58	0.00	-35.00	-35.00	46.50	46.50	-52.00	-35.00
30.05.2019	5	5.00	-6.50	-1.30	0.00	-41.50	-41.50	-35.00	12.50	-60.00	-41.50
31.05.2019	5	5.00	-122.50	-24.50	0.00	-164.00	-164.00	-41.50	-41.50	-164.00	-164.00
03.06.2019	7	7.00	-29.00	-4.14	0.00	-193.00	-193.00	-164.00	-89.00	-193.00	-193.00
04.06.2019	3	3.00	82.50	27.50	0.00	-110.50	-110.50	-193.00	-110.50	-220.50	-110.50
05.06.2019	6	6.00	56.00	9.33	0.00	-54.50	-54.50	-110.50	-54.50	-141.00	-54.50
06.06.2019	3	3.00	192.50	64.17	0.00	138.00	138.00	-54.50	138.00	-54.50	138.00
07.06.2019	5	5.00	122.00	24.40	0.00	260.00	260.00	138.00	260.00	138.00	260.00
10.06.2019	6	6.00	-78.00	-13.00	0.00	182.00	182.00	260.00	261.50	182.00	182.00
11.06.2019	4	4.00	33.50	8.38	0.00	215.50	215.50	182.00	215.50	182.00	215.50
12.06.2019	6	6.00	-71.50	-11.92	0.00	144.00	144.00	215.50	215.50	144.00	144.00
13.06.2019	4	4.00	146.50	36.63	0.00	290.50	290.50	144.00	301.00	144.00	290.50
14.06.2019	4	4.00	-12.00	-3.00	0.00	278.50	278.50	290.50	300.00	274.50	278.50
17.06.2019	7	7.00	83.00	11.86	0.00	361.50	361.50	278.50	381.00	278.50	361.50
18.06.2019	10	10.00	158.50	15.85	0.00	520.00	520.00	361.50	587.50	361.50	520.00
19.06.2019	7	7.00	-113.50	-16.21	0.00	406.50	406.50	520.00	521.00	406.50	406.50
