Date	Deposit	P/L (Net)
23.05.2019	1 500.00	0
24.05.2019	1 522.50	22.5
27.05.2019	1 556.00	33.5
28.05.2019	1 583.50	27.5
29.05.2019	1 559.00	-24.5
30.05.2019	1 606.50	47.5
31.05.2019	1 556.00	-50.5
03.06.2019	1 561.00	5
04.06.2019	1 533.50	-27.5
05.06.2019	1 548.50	15
06.06.2019	1 621.00	72.5
07.06.2019	1 663.50	42.5
10.06.2019	1 637.00	-26.5
11.06.2019	1 647.50	10.5
12.06.2019	1 602.00	-45.5
13.06.2019	1 716.00	114
14.06.2019	1 725.50	9.5
17.06.2019	1 730.00	4.5
18.06.2019	1 732.00	2
19.06.2019	1 733.00	1
20.06.2019	1 750.50	17.5
21.06.2019	1 772.00	21.5
24.06.2019	1 772.50	0.5
25.06.2019	1 829.50	57
26.06.2019	1 851.00	21.5
27.06.2019	1 879.50	28.5
28.06.2019	1 921.50	42
02.07.2019	1 928.00	6.5
03.07.2019	1 924.00	-4
04.07.2019	1 925.00	1
05.07.2019	1 899.50	-25.5
08.07.2019	1 895.50	-4
09.07.2019	1 857.00	-38.5
10.07.2019	1 821.00	-36
11.07.2019	1 855.50	34.5
12.07.2019	1 874.00	18.5
15.07.2019	1 907.50	33.5
16.07.2019	1 913.50	6
17.07.2019	1 930.00	16.5
18.07.2019	1 937.50	7.5
19.07.2019	1 968.00	30.5
22.07.2019	2 000.50	32.5
23.07.2019	1 986.00	-14.5
24.07.2019	1 998.00	12
25.07.2019	1 995.00	-3
26.07.2019	2 012.00	17
29.07.2019	2 006.00	-6
30.07.2019	1 986.50	-19.5
31.07.2019	1 953.00	-33.5
01.08.2019	1 976.00	23
02.08.2019	1 898.50	-77.5
05.08.2019	1 892.00	-6.5
06.08.2019	2 261.00	369
07.08.2019	2 306.50	45.5
08.08.2019	2 401.50	95
09.08.2019	2 469.00	67.5
12.08.2019	2 527.50	58.5
13.08.2019	2 508.50	-19
14.08.2019	2 490.50	-18
15.08.2019	2 636.50	146
16.08.2019	2 665.50	29
19.08.2019	2 699.50	34
20.08.2019	2 730.00	30.5
21.08.2019	2 787.00	57
22.08.2019	2 791.50	4.5
23.08.2019	2 841.50	50
26.08.2019	2 981.50	140
27.08.2019	2 985.00	3.5
28.08.2019	2 960.50	-24.5
29.08.2019	3 005.00	44.5
30.08.2019	3 012.50	7.5
02.09.2019	3 020.00	7.5
03.09.2019	3 043.00	23
04.09.2019	3 130.00	87
05.09.2019	3 135.00	5
06.09.2019	3 162.00	27
09.09.2019	3 146.00	-16
10.09.2019	3 151.00	5
11.09.2019	3 190.50	39.5
12.09.2019	3 299.50	109
13.09.2019	3 338.00	38.5
16.09.2019	3 411.50	73.5
17.09.2019	3 388.50	-23
18.09.2019	3 379.50	-9
19.09.2019	3 364.50	-15
20.09.2019	3 391.00	26.5
23.09.2019	3 387.00	-4
24.09.2019	3 391.00	4
25.09.2019	3 380.00	-11
26.09.2019	3 384.50	4.5
27.09.2019	3 404.50	20
30.09.2019	3 445.00	40.5
01.10.2019	3 472.50	27.5
02.10.2019	3 448.50	-24
03.10.2019	3 434.50	-14
04.10.2019	3 421.50	-13
07.10.2019	3 432.00	10.5
08.10.2019	3 466.00	34
09.10.2019	3 467.00	1
10.10.2019	3 584.00	117
11.10.2019	3 580.50	-3.5
14.10.2019	3 536.00	-44.5
15.10.2019	3 565.50	29.5
16.10.2019	3 565.50	0
17.10.2019	3 542.00	-23.5
18.10.2019	3 488.00	-54
21.10.2019	3 482.00	-6
22.10.2019	3 507.00	25
23.10.2019	3 484.50	-22.5
24.10.2019	3 506.50	22
25.10.2019	3 573.50	67
28.10.2019	3 550.00	-23.5
29.10.2019	3 534.50	-15.5
30.10.2019	3 559.00	24.5
31.10.2019	3 569.50	10.5
01.11.2019	3 589.00	19.5
04.11.2019	3 605.50	16.5
05.11.2019	3 644.00	38.5
06.11.2019	3 662.50	18.5
07.11.2019	3 667.50	5
08.11.2019	3 661.50	-6
11.11.2019	3 648.50	-13
12.11.2019	3 647.50	-1
13.11.2019	3 649.00	1.5
14.11.2019	3 654.00	5
15.11.2019	3 722.50	68.5
18.11.2019	3 785.50	63
19.11.2019	3 843.50	58
20.11.2019	3 848.00	4.5
21.11.2019	3 868.00	20
22.11.2019	3 893.50	25.5
25.11.2019	3 892.50	-1
26.11.2019	3 887.50	-5
27.11.2019	3 900.00	12.5
28.11.2019	3 917.00	17
29.11.2019	3 919.50	2.5
02.12.2019	3 945.50	26
03.12.2019	3 897.50	-48
04.12.2019	3 910.00	12.5
05.12.2019	3 887.50	-22.5
06.12.2019	3 912.00	24.5
09.12.2019	3 929.00	17
10.12.2019	3 925.00	-4
11.12.2019	3 933.00	8
12.12.2019	3 937.50	4.5
13.12.2019	3 913.00	-24.5
16.12.2019	3 920.50	7.5
17.12.2019	3 949.00	28.5
18.12.2019	3 936.50	-12.5
19.12.2019	3 934.00	-2.5
20.12.2019	3 891.00	-43
23.12.2019	3 886.00	-5
24.12.2019	3 898.50	12.5
26.12.2019	3 921.00	22.5
27.12.2019	3 920.50	-0.5
30.12.2019	3 951.50	31
31.12.2019	3 966.50	15
02.01.2020	3 990.00	23.5
03.01.2020	3 975.50	-14.5
06.01.2020	3 995.00	19.5
07.01.2020	4 042.50	47.5
08.01.2020	4 113.50	71
09.01.2020	4 139.00	25.5
10.01.2020	4 170.50	31.5
13.01.2020	4 260.00	89.5
14.01.2020	4 226.00	-34
15.01.2020	4 227.50	1.5
16.01.2020	4 208.50	-19
17.01.2020	4 198.00	-10.5
20.01.2020	4 170.00	-28
21.01.2020	4 146.50	-23.5
22.01.2020	4 213.00	66.5
23.01.2020	4 160.00	-53
24.01.2020	4 137.00	-23
27.01.2020	4 071.50	-65.5
28.01.2020	4 119.50	48
29.01.2020	4 168.50	49
30.01.2020	4 074.00	-94.5
31.01.2020	4 038.00	-36
03.02.2020	4 082.50	44.5
04.02.2020	4 144.00	61.5
05.02.2020	4 146.50	2.5
06.02.2020	4 222.00	75.5
07.02.2020	4 182.00	-40
10.02.2020	4 173.00	-9
11.02.2020	4 174.00	1
12.02.2020	4 184.00	10
13.02.2020	4 154.00	-30
14.02.2020	4 180.00	26
17.02.2020	4 253.50	73.5
18.02.2020	4 224.50	-29
19.02.2020	4 267.50	43
20.02.2020	4 338.00	70.5
21.02.2020	4 238.00	-100
24.02.2020	4 171.50	-66.5
25.02.2020	4 194.50	23
26.02.2020	4 103.00	-91.5
27.02.2020	3 855.00	-248
28.02.2020	3 822.50	-32.5
02.03.2020	4 048.50	226
03.03.2020	3 997.50	-51
04.03.2020	4 258.50	261
05.03.2020	4 170.00	-88.5
06.03.2020	4 114.00	-56
09.03.2020	3 963.50	-150.5
10.03.2020	4 042.00	78.5
11.03.2020	3 801.50	-240.5
12.03.2020	3 780.00	-21.5
13.03.2020	3 624.50	-155.5
18.03.2020	3 821.00	196.5
19.03.2020	3 731.50	-89.5
20.03.2020	4 265.50	534
23.03.2020	4 421.00	155.5
24.03.2020	4 962.00	541
25.03.2020	5 027.50	65.5
26.03.2020	4 780.00	-247.5
27.03.2020	4 648.50	-131.5
30.03.2020	4 863.50	215
31.03.2020	4 995.00	131.5
01.04.2020	4 804.50	-190.5
02.04.2020	4 857.50	53
03.04.2020	4 690.50	-167
06.04.2020	4 951.50	261
07.04.2020	5 158.00	206.5
08.04.2020	5 230.50	72.5
09.04.2020	5 267.00	36.5
13.04.2020	5 375.50	108.5
14.04.2020	5 505.50	130
15.04.2020	5 304.00	-201.5
16.04.2020	5 305.50	1.5
17.04.2020	5 200.50	-105
20.04.2020	5 236.00	35.5
21.04.2020	5 031.50	-204.5
22.04.2020	5 002.50	-29
23.04.2020	4 872.50	-130
24.04.2020	4 984.50	112
27.04.2020	5 079.50	95
28.04.2020	5 103.00	23.5
29.04.2020	5 192.50	89.5
30.04.2020	5 208.50	16
01.05.2020	5 109.50	-99
04.05.2020	5 292.00	182.5
05.05.2020	5 443.00	151
06.05.2020	5 570.00	127
07.05.2020	5 643.00	73
08.05.2020	5 779.00	136
11.05.2020	5 707.00	-72
12.05.2020	5 736.00	29
13.05.2020	5 911.50	175.5
14.05.2020	5 875.00	-36.5
15.05.2020	6 009.00	134
18.05.2020	6 025.50	16.5
19.05.2020	6 143.50	118
20.05.2020	6 168.00	24.5
21.05.2020	6 122.50	-45.5
22.05.2020	6 059.00	-63.5
25.05.2020	6 136.50	77.5
26.05.2020	6 200.00	63.5
27.05.2020	6 300.50	100.5
28.05.2020	6 225.00	-75.5
29.05.2020	6 130.00	-95
01.06.2020	6 249.50	119.5
02.06.2020	6 298.00	48.5
03.06.2020	6 278.00	-20
04.06.2020	6 167.00	-111
05.06.2020	6 250.00	83
08.06.2020	6 235.00	-15
09.06.2020	6 259.00	24
10.06.2020	6 274.00	15
11.06.2020	6 187.50	-86.5
12.06.2020	6 419.50	232
15.06.2020	6 341.50	-78
16.06.2020	6 429.50	88
17.06.2020	6 500.50	71
18.06.2020	6 523.00	22.5
19.06.2020	6 572.50	49.5
22.06.2020	6 731.50	159
23.06.2020	6 769.50	38
24.06.2020	6 786.50	17
25.06.2020	6 744.50	-42
26.06.2020	6 662.00	-82.5
29.06.2020	6 648.00	-14
30.06.2020	6 571.50	-76.5
01.07.2020	6 497.00	-74.5
02.07.2020	6 536.00	39
03.07.2020	6 554.00	18
06.07.2020	6 566.50	12.5
07.07.2020	6 494.50	-72
08.07.2020	6 465.50	-29
09.07.2020	6 470.50	5
10.07.2020	6 488.00	17.5
13.07.2020	6 460.00	-28
14.07.2020	6 376.00	-84
15.07.2020	6 440.50	64.5
16.07.2020	6 328.00	-112.5
17.07.2020	6 392.00	64
20.07.2020	6 280.00	-112
21.07.2020	6 430.50	150.5
22.07.2020	6 480.50	50
23.07.2020	6 587.50	107
24.07.2020	6 559.00	-28.5
27.07.2020	6 737.50	178.5
28.07.2020	6 766.00	28.5
29.07.2020	6 758.00	-8
30.07.2020	6 716.00	-42
31.07.2020	6 791.00	75
03.08.2020	6 816.00	25
04.08.2020	6 874.50	58.5
05.08.2020	6 924.00	49.5
06.08.2020	6 987.50	63.5
07.08.2020	7 071.00	83.5
10.08.2020	7 062.00	-9
11.08.2020	7 054.50	-7.5
12.08.2020	7 130.00	75.5
13.08.2020	7 183.50	53.5
14.08.2020	7 196.50	13
17.08.2020	7 198.00	1.5
18.08.2020	7 175.50	-22.5
19.08.2020	7 187.00	11.5
20.08.2020	7 228.50	41.5
21.08.2020	7 208.00	-20.5
24.08.2020	7 256.00	48
25.08.2020	7 245.50	-10.5
26.08.2020	7 198.50	-47
27.08.2020	7 253.00	54.5
28.08.2020	7 367.50	114.5
31.08.2020	7 356.00	-11.5
01.09.2020	7 456.00	100
02.09.2020	7 439.50	-16.5
03.09.2020	7 337.50	-102
04.09.2020	7 534.50	197
07.09.2020	7 413.50	-121
08.09.2020	7 458.00	44.5
09.09.2020	7 593.00	135
10.09.2020	7 754.50	161.5
11.09.2020	7 885.00	130.5
14.09.2020	7 918.50	33.5
15.09.2020	8 119.00	200.5
16.09.2020	8 276.00	157
17.09.2020	8 043.00	-233
18.09.2020	7 885.00	-158
21.09.2020	7 628.50	-256.5
22.09.2020	7 477.00	-151.5
23.09.2020	7 540.00	63
24.09.2020	7 362.50	-177.5
25.09.2020	7 302.00	-60.5
28.09.2020	7 424.00	122
29.09.2020	7 485.50	61.5
30.09.2020	7 448.00	-37.5
01.10.2020	7 547.00	99
02.10.2020	7 318.50	-228.5
05.10.2020	7 276.50	-42
06.10.2020	7 228.50	-48
07.10.2020	7 349.50	121
08.10.2020	7 456.50	107
09.10.2020	7 441.00	-15.5
12.10.2020	7 453.00	12
13.10.2020	7 420.50	-32.5
14.10.2020	7 400.50	-20
15.10.2020	7 308.00	-92.5
16.10.2020	7 369.50	61.5
19.10.2020	7 377.00	7.5
20.10.2020	7 473.00	96
21.10.2020	7 530.50	57.5
22.10.2020	7 445.00	-85.5
23.10.2020	7 431.50	-13.5
26.10.2020	7 382.50	-49
27.10.2020	7 498.00	115.5
28.10.2020	7 495.00	-3
29.10.2020	7 639.50	144.5
30.10.2020	7 554.00	-85.5
02.11.2020	7 658.50	104.5
03.11.2020	7 648.00	-10.5
04.11.2020	7 705.50	57.5
05.11.2020	7 755.00	49.5
06.11.2020	7 643.50	-111.5
09.11.2020	7 735.00	91.5
10.11.2020	7 691.50	-43.5
11.11.2020	7 675.00	-16.5
12.11.2020	7 668.00	-7
13.11.2020	7 765.50	97.5
16.11.2020	7 675.50	-90
17.11.2020	7 656.00	-19.5
18.11.2020	7 640.00	-16
19.11.2020	7 619.00	-21
20.11.2020	7 690.00	71
23.11.2020	7 664.50	-25.5
24.11.2020	7 625.50	-39
26.11.2020	7 595.50	-30
27.11.2020	7 584.00	-11.5
30.11.2020	7 550.00	-34
01.12.2020	7 559.00	9
02.12.2020	7 541.00	-18
03.12.2020	7 551.50	10.5
04.12.2020	7 592.00	40.5
07.12.2020	7 573.00	-19
08.12.2020	7 579.50	6.5
09.12.2020	7 520.50	-59
10.12.2020	7 462.00	-58.5
11.12.2020	7 439.00	-23
14.12.2020	7 402.00	-37
15.12.2020	7 385.50	-16.5
16.12.2020	7 432.50	47
17.12.2020	7 464.00	31.5
18.12.2020	7 500.00	36
22.12.2020	7 425.50	-74.5
23.12.2020	7 470.00	44.5
24.12.2020	7 420.50	-49.5
28.12.2020	7 459.00	38.5
29.12.2020	7 451.00	-8
30.12.2020	7 509.00	58
31.12.2020	7 495.50	-13.5
04.01.2021	7 568.50	73
05.01.2021	7 670.00	101.5
06.01.2021	7 472.50	-197.5
07.01.2021	7 618.50	146
08.01.2021	7 693.00	74.5
11.01.2021	7 593.00	-100
12.01.2021	7 647.00	54
13.01.2021	7 632.50	-14.5
14.01.2021	7 636.00	3.5
15.01.2021	7 619.50	-16.5
18.01.2021	7 608.00	-11.5
19.01.2021	7 594.50	-13.5
20.01.2021	7 664.50	70
21.01.2021	7 775.00	110.5
22.01.2021	7 694.50	-80.5
25.01.2021	7 737.50	43
26.01.2021	7 692.00	-45.5
27.01.2021	7 578.00	-114
