Run_Start	Date	Contracts	PnL_Today	Cumulative_PnL	Peak_PnL	Trailing_Floor
2019-05-23	2019-05-23	3	0.0	0.0	0.0	-1500.0
2019-05-23	2019-05-24	3	67.5	67.5	0.0	-1500.0
2019-05-23	2019-05-27	3	100.5	168.0	67.5	-1432.5
2019-05-23	2019-05-28	3	82.5	250.5	168.0	-1332.0
2019-05-23	2019-05-29	3	-73.5	177.0	250.5	-1249.5
2019-05-23	2019-05-30	3	142.5	319.5	250.5	-1249.5
2019-05-23	2019-05-31	3	-151.5	168.0	319.5	-1180.5
2019-05-23	2019-06-03	3	15.0	183.0	319.5	-1180.5
2019-05-23	2019-06-04	3	-82.5	100.5	319.5	-1180.5
2019-05-23	2019-06-05	3	45.0	145.5	319.5	-1180.5
2019-05-23	2019-06-06	3	217.5	363.0	319.5	-1180.5
2019-05-23	2019-06-07	3	127.5	490.5	363.0	-1137.0
2019-05-23	2019-06-10	3	-79.5	411.0	490.5	-1009.5
2019-05-23	2019-06-11	3	31.5	442.5	490.5	-1009.5
2019-05-23	2019-06-12	3	-136.5	306.0	490.5	-1009.5
2019-05-23	2019-06-13	3	342.0	648.0	490.5	-1009.5
2019-05-23	2019-06-14	3	28.5	676.5	648.0	-852.0
2019-05-23	2019-06-17	3	13.5	690.0	676.5	-823.5
2019-05-23	2019-06-18	3	6.0	696.0	690.0	-810.0
2019-05-23	2019-06-19	3	3.0	699.0	696.0	-804.0
2019-05-23	2019-06-20	3	52.5	751.5	699.0	-801.0
2019-05-23	2019-06-21	3	64.5	816.0	751.5	-748.5
2019-05-23	2019-06-24	3	1.5	817.5	816.0	-684.0
2019-05-23	2019-06-25	3	171.0	988.5	817.5	-682.5
2019-05-23	2019-06-26	3	64.5	1053.0	988.5	-511.5
2019-05-23	2019-06-27	3	85.5	1138.5	1053.0	-447.0
2019-05-23	2019-06-28	3	126.0	1264.5	1138.5	-361.5
2019-05-23	2019-07-02	3	19.5	1284.0	1264.5	-235.5
2019-05-23	2019-07-03	3	-12.0	1272.0	1284.0	-216.0
2019-05-23	2019-07-04	3	3.0	1275.0	1284.0	-216.0
2019-05-23	2019-07-05	3	-76.5	1198.5	1284.0	-216.0
2019-05-23	2019-07-08	3	-12.0	1186.5	1284.0	-216.0
2019-05-23	2019-07-09	3	-115.5	1071.0	1284.0	-216.0
2019-05-23	2019-07-10	3	-108.0	963.0	1284.0	-216.0
2019-05-23	2019-07-11	3	103.5	1066.5	1284.0	-216.0
2019-05-23	2019-07-12	3	55.5	1122.0	1284.0	-216.0
2019-05-23	2019-07-15	3	100.5	1222.5	1284.0	-216.0
2019-05-23	2019-07-16	3	18.0	1240.5	1284.0	-216.0
2019-05-23	2019-07-17	3	49.5	1290.0	1284.0	-216.0
2019-05-23	2019-07-18	3	22.5	1312.5	1290.0	-210.0
2019-05-23	2019-07-19	3	91.5	1404.0	1312.5	-187.5
2019-05-23	2019-07-22	3	97.5	1501.5	1404.0	-96.0
2019-05-24	2019-05-24	3	67.5	67.5	0.0	-1500.0
2019-05-24	2019-05-27	3	100.5	168.0	67.5	-1432.5
2019-05-24	2019-05-28	3	82.5	250.5	168.0	-1332.0
2019-05-24	2019-05-29	3	-73.5	177.0	250.5	-1249.5
2019-05-24	2019-05-30	3	142.5	319.5	250.5	-1249.5
2019-05-24	2019-05-31	3	-151.5	168.0	319.5	-1180.5
2019-05-24	2019-06-03	3	15.0	183.0	319.5	-1180.5
2019-05-24	2019-06-04	3	-82.5	100.5	319.5	-1180.5
2019-05-24	2019-06-05	3	45.0	145.5	319.5	-1180.5
2019-05-24	2019-06-06	3	217.5	363.0	319.5	-1180.5
2019-05-24	2019-06-07	3	127.5	490.5	363.0	-1137.0
2019-05-24	2019-06-10	3	-79.5	411.0	490.5	-1009.5
2019-05-24	2019-06-11	3	31.5	442.5	490.5	-1009.5
2019-05-24	2019-06-12	3	-136.5	306.0	490.5	-1009.5
2019-05-24	2019-06-13	3	342.0	648.0	490.5	-1009.5
2019-05-24	2019-06-14	3	28.5	676.5	648.0	-852.0
2019-05-24	2019-06-17	3	13.5	690.0	676.5	-823.5
2019-05-24	2019-06-18	3	6.0	696.0	690.0	-810.0
2019-05-24	2019-06-19	3	3.0	699.0	696.0	-804.0
2019-05-24	2019-06-20	3	52.5	751.5	699.0	-801.0
2019-05-24	2019-06-21	3	64.5	816.0	751.5	-748.5
2019-05-24	2019-06-24	3	1.5	817.5	816.0	-684.0
2019-05-24	2019-06-25	3	171.0	988.5	817.5	-682.5
2019-05-24	2019-06-26	3	64.5	1053.0	988.5	-511.5
2019-05-24	2019-06-27	3	85.5	1138.5	1053.0	-447.0
2019-05-24	2019-06-28	3	126.0	1264.5	1138.5	-361.5
2019-05-24	2019-07-02	3	19.5	1284.0	1264.5	-235.5
2019-05-24	2019-07-03	3	-12.0	1272.0	1284.0	-216.0
2019-05-24	2019-07-04	3	3.0	1275.0	1284.0	-216.0
