Run_Start	Date	Contracts	PnL_Today	Cumulative_PnL	Peak_PnL	Trailing_Floor
2019-05-24	2019-05-24	1	0.0	0.0	0.0	-1500.0
2019-05-24	2019-05-27	1	33.5	33.5	0.0	-1500.0
2019-05-24	2019-05-28	1	27.5	61.0	33.5	-1466.5
2019-05-24	2019-05-29	1	-24.5	36.5	71.5	-1428.5
2019-05-24	2019-05-30	1	47.5	84.0	71.5	-1428.5
2019-05-24	2019-05-31	1	-50.5	33.5	84.0	-1416.0
2019-05-24	2019-06-03	1	5.0	38.5	84.0	-1416.0
2019-05-24	2019-06-04	1	-27.5	11.0	84.0	-1416.0
2019-05-24	2019-06-05	1	15.0	26.0	84.0	-1416.0
2019-05-24	2019-06-06	1	72.5	98.5	84.0	-1416.0
2019-05-24	2019-06-07	1	42.5	141.0	98.5	-1401.5
2019-05-24	2019-06-10	1	-26.5	114.5	141.0	-1359.0
2019-05-24	2019-06-11	1	10.5	125.0	141.0	-1359.0
2019-05-24	2019-06-12	1	-45.5	79.5	141.0	-1359.0
2019-05-24	2019-06-13	1	114.0	193.5	141.0	-1359.0
2019-05-24	2019-06-14	1	9.5	203.0	193.5	-1306.5
2019-05-24	2019-06-17	1	4.5	207.5	203.0	-1297.0
2019-05-24	2019-06-18	1	2.0	209.5	224.5	-1275.5
2019-05-24	2019-06-19	1	1.0	210.5	224.5	-1275.5
2019-05-24	2019-06-20	1	17.5	228.0	224.5	-1275.5
2019-05-24	2019-06-21	1	21.5	249.5	228.0	-1272.0
2019-05-24	2019-06-24	1	0.5	250.0	249.5	-1250.5
2019-05-24	2019-06-25	1	57.0	307.0	261.5	-1238.5
2019-05-24	2019-06-26	1	21.5	328.5	307.0	-1193.0
2019-05-24	2019-06-27	1	28.5	357.0	338.5	-1161.5
2019-05-24	2019-06-28	1	42.0	399.0	357.0	-1143.0
2019-05-24	2019-07-02	1	6.5	405.5	399.0	-1101.0
2019-05-24	2019-07-03	1	-4.0	401.5	424.0	-1076.0
2019-05-24	2019-07-04	1	1.0	402.5	424.0	-1076.0
2019-05-24	2019-07-05	1	-25.5	377.0	424.0	-1076.0
2019-05-24	2019-07-08	1	-4.0	373.0	424.0	-1076.0
2019-05-24	2019-07-09	1	-38.5	334.5	424.0	-1076.0
2019-05-24	2019-07-10	1	-36.0	298.5	424.0	-1076.0
2019-05-24	2019-07-11	1	34.5	333.0	424.0	-1076.0
2019-05-24	2019-07-12	1	18.5	351.5	424.0	-1076.0
2019-05-24	2019-07-15	1	33.5	385.0	424.0	-1076.0
2019-05-24	2019-07-16	1	6.0	391.0	424.0	-1076.0
2019-05-24	2019-07-17	1	16.5	407.5	424.0	-1076.0
2019-05-24	2019-07-18	1	7.5	415.0	424.0	-1076.0
2019-05-24	2019-07-19	1	30.5	445.5	424.0	-1076.0
2019-05-24	2019-07-22	1	32.5	478.0	445.5	-1054.5
2019-05-24	2019-07-23	1	-14.5	463.5	478.0	-1022.0
2019-05-24	2019-07-24	1	12.0	475.5	478.0	-1022.0
2019-05-24	2019-07-25	1	-3.0	472.5	482.0	-1018.0
2019-05-24	2019-07-26	1	17.0	489.5	482.0	-1018.0
2019-05-24	2019-07-29	1	-6.0	483.5	507.5	-992.5
2019-05-24	2019-07-30	1	-19.5	464.0	507.5	-992.5
2019-05-24	2019-07-31	1	-33.5	430.5	507.5	-992.5
2019-05-24	2019-08-01	1	23.0	453.5	507.5	-992.5
2019-05-24	2019-08-02	1	-77.5	376.0	507.5	-992.5
2019-05-24	2019-08-05	1	-6.5	369.5	507.5	-992.5
2019-05-24	2019-08-06	1	369.0	738.5	507.5	-992.5
2019-05-24	2019-08-07	1	45.5	784.0	738.5	-761.5
2019-05-24	2019-08-08	1	95.0	879.0	784.0	-716.0
2019-05-24	2019-08-09	1	67.5	946.5	879.0	-621.0
2019-05-24	2019-08-12	1	58.5	1005.0	946.5	-553.5
2019-05-24	2019-08-13	1	-19.0	986.0	1005.0	-495.0
2019-05-24	2019-08-14	1	-18.0	968.0	1028.0	-472.0
2019-05-24	2019-08-15	1	146.0	1114.0	1028.0	-472.0
2019-05-24	2019-08-16	1	29.0	1143.0	1114.0	-386.0
2019-05-24	2019-08-19	1	34.0	1177.0	1170.5	-329.5
2019-05-24	2019-08-20	1	30.5	1207.5	1177.0	-323.0
2019-05-24	2019-08-21	1	57.0	1264.5	1209.0	-291.0
2019-05-24	2019-08-22	1	4.5	1269.0	1264.5	-235.5
2019-05-24	2019-08-23	1	50.0	1319.0	1269.0	-231.0
2019-05-24	2019-08-26	1	140.0	1459.0	1319.0	-181.0
2019-05-24	2019-08-27	1	3.5	1462.5	1459.0	-41.0
2019-05-24	2019-08-28	1	-24.5	1438.0	1501.5	1.5
2019-05-24	2019-08-29	1	44.5	1482.5	1501.5	1.5
2019-05-24	2019-08-30	1	7.5	1490.0	1501.5	1.5
2019-05-24	2019-09-02	1	7.5	1497.5	1508.0	8.0
2019-05-24	2019-09-03	1	23.0	1520.5	1508.5	8.5
2019-05-27	2019-05-27	1	33.5	33.5	0.0	-1500.0
2019-05-27	2019-05-28	1	27.5	61.0	33.5	-1466.5
2019-05-27	2019-05-29	1	-24.5	36.5	71.5	-1428.5
2019-05-27	2019-05-30	1	47.5	84.0	71.5	-1428.5
2019-05-27	2019-05-31	1	-50.5	33.5	84.0	-1416.0
2019-05-27	2019-06-03	1	5.0	38.5	84.0	-1416.0
2019-05-27	2019-06-04	1	-27.5	11.0	84.0	-1416.0
2019-05-27	2019-06-05	1	15.0	26.0	84.0	-1416.0
2019-05-27	2019-06-06	1	72.5	98.5	84.0	-1416.0
2019-05-27	2019-06-07	1	42.5	141.0	98.5	-1401.5
2019-05-27	2019-06-10	1	-26.5	114.5	141.0	-1359.0
2019-05-27	2019-06-11	1	10.5	125.0	141.0	-1359.0
2019-05-27	2019-06-12	1	-45.5	79.5	141.0	-1359.0
2019-05-27	2019-06-13	1	114.0	193.5	141.0	-1359.0
2019-05-27	2019-06-14	1	9.5	203.0	193.5	-1306.5
2019-05-27	2019-06-17	1	4.5	207.5	203.0	-1297.0
2019-05-27	2019-06-18	1	2.0	209.5	224.5	-1275.5
2019-05-27	2019-06-19	1	1.0	210.5	224.5	-1275.5
2019-05-27	2019-06-20	1	17.5	228.0	224.5	-1275.5
2019-05-27	2019-06-21	1	21.5	249.5	228.0	-1272.0
2019-05-27	2019-06-24	1	0.5	250.0	249.5	-1250.5
2019-05-27	2019-06-25	1	57.0	307.0	261.5	-1238.5
