Run_Start	Date	Contracts	PnL_Today	Cumulative_PnL	Peak_PnL	Trailing_Floor
2019-05-24	2019-05-24	2.51	0.0	0.0	0.0	-1500.0
2019-05-24	2019-05-27	2.51	84.08	84.08	0.0	-1500.0
2019-05-24	2019-05-28	2.51	69.02	153.11	84.08	-1415.92
2019-05-24	2019-05-29	2.51	-61.5	91.61	163.61	-1336.39
2019-05-24	2019-05-30	2.51	119.22	210.84	163.61	-1336.39
2019-05-24	2019-05-31	2.51	-126.76	84.08	210.84	-1289.16
2019-05-24	2019-06-03	2.51	12.55	96.63	210.84	-1289.16
2019-05-24	2019-06-04	2.51	-69.02	27.61	210.84	-1289.16
2019-05-24	2019-06-05	2.51	37.65	65.26	210.84	-1289.16
2019-05-24	2019-06-06	2.51	181.98	247.24	210.84	-1289.16
2019-05-24	2019-06-07	2.51	106.68	353.91	247.24	-1252.77
2019-05-24	2019-06-10	2.51	-66.52	287.4	353.91	-1146.09
2019-05-24	2019-06-11	2.51	26.35	313.75	353.91	-1146.09
2019-05-24	2019-06-12	2.51	-114.2	199.54	353.91	-1146.09
2019-05-24	2019-06-13	2.51	286.14	485.68	353.91	-1146.09
2019-05-24	2019-06-14	2.51	23.84	509.53	485.68	-1014.32
2019-05-24	2019-06-17	2.51	11.29	520.82	509.53	-990.47
2019-05-24	2019-06-18	2.51	5.02	525.84	537.82	-962.18
2019-05-24	2019-06-19	2.51	2.51	528.35	537.84	-962.16
2019-05-24	2019-06-20	2.51	43.92	572.28	537.84	-962.16
2019-05-24	2019-06-21	2.51	53.96	626.24	572.28	-927.72
2019-05-24	2019-06-24	2.51	1.25	627.5	626.24	-873.76
2019-05-24	2019-06-25	2.51	143.07	770.57	639.0	-861.0
2019-05-24	2019-06-26	2.51	53.96	824.54	770.57	-729.43
2019-05-24	2019-06-27	2.51	71.54	896.07	834.54	-665.46
2019-05-24	2019-06-28	2.51	105.42	1001.49	896.07	-603.93
2019-05-24	2019-07-02	2.51	16.31	1017.8	1001.49	-498.51
2019-05-24	2019-07-03	2.51	-10.04	1007.76	1036.3	-463.7
2019-05-24	2019-07-04	2.51	2.51	1010.27	1036.3	-463.7
