Run_Start	Date	Contracts	PnL_Today	Cumulative_PnL	Peak_PnL	Trailing_Floor
2019-05-23	2019-05-23	1	0.0	0.0	0.0	-1500.0
2019-05-23	2019-05-24	1	22.5	22.5	0.0	-1500.0
2019-05-23	2019-05-27	1	27.5	50.0	22.5	-1477.5
2019-05-23	2019-05-28	1	83.5	133.5	50.0	-1450.0
2019-05-23	2019-05-29	1	-7.5	126.0	133.5	-1366.5
2019-05-23	2019-05-30	1	12.0	138.0	133.5	-1366.5
2019-05-23	2019-05-31	1	-122.5	15.5	138.0	-1362.0
2019-05-23	2019-06-03	1	52.5	68.0	138.0	-1362.0
2019-05-23	2019-06-04	1	-27.5	40.5	138.0	-1362.0
2019-05-23	2019-06-05	1	15.0	55.5	138.0	-1362.0
2019-05-23	2019-06-06	1	116.0	171.5	138.0	-1362.0
2019-05-23	2019-06-07	1	132.0	303.5	171.5	-1328.5
2019-05-23	2019-06-10	1	-26.5	277.0	303.5	-1196.5
2019-05-23	2019-06-11	1	10.5	287.5	303.5	-1196.5
2019-05-23	2019-06-12	1	-40.5	247.0	303.5	-1196.5
2019-05-23	2019-06-13	1	80.0	327.0	303.5	-1196.5
2019-05-23	2019-06-14	1	9.5	336.5	327.0	-1173.0
2019-05-23	2019-06-17	1	-12.5	324.0	336.5	-1163.5
2019-05-23	2019-06-18	1	187.5	511.5	336.5	-1163.5
2019-05-23	2019-06-19	1	-56.0	455.5	511.5	-988.5
2019-05-23	2019-06-20	1	37.0	492.5	511.5	-988.5
2019-05-23	2019-06-21	1	-56.0	436.5	511.5	-988.5
2019-05-23	2019-06-24	1	-27.5	409.0	511.5	-988.5
2019-05-23	2019-06-25	1	34.0	443.0	511.5	-988.5
2019-05-23	2019-06-26	1	137.5	580.5	511.5	-988.5
2019-05-23	2019-06-27	1	6.5	587.0	580.5	-919.5
2019-05-23	2019-06-28	1	42.0	629.0	587.0	-913.0
2019-05-23	2019-07-02	1	74.0	703.0	629.0	-871.0
