Run_Start	Date	Contracts	PnL_Today	Cumulative_PnL	Peak_PnL	Trailing_Floor
2019-05-24	2019-05-24	2	0.0	0.0	0.0	-1500.0
2019-05-24	2019-05-27	2	55.0	55.0	0.0	-1500.0
2019-05-24	2019-05-28	2	167.0	222.0	61.0	-1439.0
2019-05-24	2019-05-29	2	-15.0	207.0	222.0	-1278.0
2019-05-24	2019-05-30	2	24.0	231.0	222.0	-1278.0
2019-05-24	2019-05-31	2	-245.0	-14.0	266.5	-1233.5
2019-05-24	2019-06-03	2	105.0	91.0	266.5	-1233.5
2019-05-24	2019-06-04	2	-55.0	36.0	266.5	-1233.5
2019-05-24	2019-06-05	2	30.0	66.0	266.5	-1233.5
2019-05-24	2019-06-06	2	232.0	298.0	266.5	-1233.5
2019-05-24	2019-06-07	2	264.0	562.0	298.0	-1202.0
2019-05-24	2019-06-10	2	-53.0	509.0	562.0	-938.0
2019-05-24	2019-06-11	2	21.0	530.0	562.0	-938.0
2019-05-24	2019-06-12	2	-81.0	449.0	562.0	-938.0
2019-05-24	2019-06-13	2	160.0	609.0	562.0	-938.0
2019-05-24	2019-06-14	2	19.0	628.0	643.0	-857.0
2019-05-24	2019-06-17	2	-25.0	603.0	643.0	-857.0
2019-05-24	2019-06-18	2	375.0	978.0	643.0	-857.0
2019-05-24	2019-06-19	2	-112.0	866.0	978.0	-522.0
2019-05-24	2019-06-20	2	74.0	940.0	978.0	-522.0
2019-05-24	2019-06-21	2	-112.0	828.0	978.0	-522.0
2019-05-24	2019-06-24	2	-55.0	773.0	978.0	-522.0
2019-05-24	2019-06-25	2	68.0	841.0	978.0	-522.0
2019-05-24	2019-06-26	2	275.0	1116.0	978.0	-522.0
2019-05-24	2019-06-27	2	13.0	1129.0	1159.5	-340.5
2019-05-24	2019-06-28	2	84.0	1213.0	1159.5	-340.5
2019-05-24	2019-07-02	2	148.0	1361.0	1213.0	-287.0
2019-05-24	2019-07-03	2	69.0	1430.0	1361.0	-139.0
2019-05-24	2019-07-04	2	27.0	1457.0	1430.0	-70.0
2019-05-24	2019-07-05	2	-135.0	1322.0	1457.0	-43.0
2019-05-24	2019-07-08	2	-49.0	1273.0	1457.0	-43.0
2019-05-24	2019-07-09	2	-23.0	1250.0	1457.0	-43.0
2019-05-24	2019-07-10	2	395.0	1645.0	1457.0	-43.0
2019-05-27	2019-05-27	2	55.0	55.0	0.0	-1500.0
2019-05-27	2019-05-28	2	167.0	222.0	61.0	-1439.0
2019-05-27	2019-05-29	2	-15.0	207.0	222.0	-1278.0
2019-05-27	2019-05-30	2	24.0	231.0	222.0	-1278.0
2019-05-27	2019-05-31	2	-245.0	-14.0	266.5	-1233.5
2019-05-27	2019-06-03	2	105.0	91.0	266.5	-1233.5
2019-05-27	2019-06-04	2	-55.0	36.0	266.5	-1233.5
2019-05-27	2019-06-05	2	30.0	66.0	266.5	-1233.5
2019-05-27	2019-06-06	2	232.0	298.0	266.5	-1233.5
2019-05-27	2019-06-07	2	264.0	562.0	298.0	-1202.0
2019-05-27	2019-06-10	2	-53.0	509.0	562.0	-938.0
2019-05-27	2019-06-11	2	21.0	530.0	562.0	-938.0
2019-05-27	2019-06-12	2	-81.0	449.0	562.0	-938.0
2019-05-27	2019-06-13	2	160.0	609.0	562.0	-938.0
2019-05-27	2019-06-14	2	19.0	628.0	643.0	-857.0
2019-05-27	2019-06-17	2	-25.0	603.0	643.0	-857.0
2019-05-27	2019-06-18	2	375.0	978.0	643.0	-857.0
2019-05-27	2019-06-19	2	-112.0	866.0	978.0	-522.0
2019-05-27	2019-06-20	2	74.0	940.0	978.0	-522.0
2019-05-27	2019-06-21	2	-112.0	828.0	978.0	-522.0
2019-05-27	2019-06-24	2	-55.0	773.0	978.0	-522.0
2019-05-27	2019-06-25	2	68.0	841.0	978.0	-522.0
2019-05-27	2019-06-26	2	275.0	1116.0	978.0	-522.0
2019-05-27	2019-06-27	2	13.0	1129.0	1159.5	-340.5
2019-05-27	2019-06-28	2	84.0	1213.0	1159.5	-340.5
2019-05-27	2019-07-02	2	148.0	1361.0	1213.0	-287.0
2019-05-27	2019-07-03	2	69.0	1430.0	1361.0	-139.0
2019-05-27	2019-07-04	2	27.0	1457.0	1430.0	-70.0
2019-05-27	2019-07-05	2	-135.0	1322.0	1457.0	-43.0
2019-05-27	2019-07-08	2	-49.0	1273.0	1457.0	-43.0
2019-05-27	2019-07-09	2	-23.0	1250.0	1457.0	-43.0
2019-05-27	2019-07-10	2	395.0	1645.0	1457.0	-43.0
2019-05-28	2019-05-28	2	167.0	167.0	0.0	-1500.0
2019-05-28	2019-05-29	2	-15.0	152.0	167.0	-1333.0
2019-05-28	2019-05-30	2	24.0	176.0	167.0	-1333.0
2019-05-28	2019-05-31	2	-245.0	-69.0	211.5	-1288.5
2019-05-28	2019-06-03	2	105.0	36.0	211.5	-1288.5
2019-05-28	2019-06-04	2	-55.0	-19.0	211.5	-1288.5
2019-05-28	2019-06-05	2	30.0	11.0	211.5	-1288.5
2019-05-28	2019-06-06	2	232.0	243.0	211.5	-1288.5
2019-05-28	2019-06-07	2	264.0	507.0	243.0	-1257.0
2019-05-28	2019-06-10	2	-53.0	454.0	507.0	-993.0
2019-05-28	2019-06-11	2	21.0	475.0	507.0	-993.0
2019-05-28	2019-06-12	2	-81.0	394.0	507.0	-993.0
2019-05-28	2019-06-13	2	160.0	554.0	507.0	-993.0
2019-05-28	2019-06-14	2	19.0	573.0	588.0	-912.0
2019-05-28	2019-06-17	2	-25.0	548.0	588.0	-912.0
2019-05-28	2019-06-18	2	375.0	923.0	588.0	-912.0
2019-05-28	2019-06-19	2	-112.0	811.0	923.0	-577.0
2019-05-28	2019-06-20	2	74.0	885.0	923.0	-577.0
2019-05-28	2019-06-21	2	-112.0	773.0	923.0	-577.0
2019-05-28	2019-06-24	2	-55.0	718.0	923.0	-577.0
2019-05-28	2019-06-25	2	68.0	786.0	923.0	-577.0
2019-05-28	2019-06-26	2	275.0	1061.0	923.0	-577.0
2019-05-28	2019-06-27	2	13.0	1074.0	1104.5	-395.5
2019-05-28	2019-06-28	2	84.0	1158.0	1104.5	-395.5
2019-05-28	2019-07-02	2	148.0	1306.0	1158.0	-342.0
2019-05-28	2019-07-03	2	69.0	1375.0	1306.0	-194.0
2019-05-28	2019-07-04	2	27.0	1402.0	1375.0	-125.0
2019-05-28	2019-07-05	2	-135.0	1267.0	1402.0	-98.0
2019-05-28	2019-07-08	2	-49.0	1218.0	1402.0	-98.0
2019-05-28	2019-07-09	2	-23.0	1195.0	1402.0	-98.0
2019-05-28	2019-07-10	2	395.0	1590.0	1402.0	-98.0
2019-05-29	2019-05-29	2	-15.0	-15.0	0.0	-1500.0
2019-05-29	2019-05-30	2	24.0	9.0	0.0	-1500.0
2019-05-29	2019-05-31	2	-245.0	-236.0	44.5	-1455.5
2019-05-29	2019-06-03	2	105.0	-131.0	44.5	-1455.5
2019-05-29	2019-06-04	2	-55.0	-186.0	44.5	-1455.5
2019-05-29	2019-06-05	2	30.0	-156.0	44.5	-1455.5
2019-05-29	2019-06-06	2	232.0	76.0	44.5	-1455.5
2019-05-29	2019-06-07	2	264.0	340.0	76.0	-1424.0
2019-05-29	2019-06-10	2	-53.0	287.0	340.0	-1160.0
2019-05-29	2019-06-11	2	21.0	308.0	340.0	-1160.0
2019-05-29	2019-06-12	2	-81.0	227.0	340.0	-1160.0
2019-05-29	2019-06-13	2	160.0	387.0	340.0	-1160.0
2019-05-29	2019-06-14	2	19.0	406.0	421.0	-1079.0
2019-05-29	2019-06-17	2	-25.0	381.0	421.0	-1079.0
2019-05-29	2019-06-18	2	375.0	756.0	421.0	-1079.0
